,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament,handedness,Height
1065,0.013513514,0.637931034,80.06756757,67.475,0.483333333,0.516666667,0.017241379,F,Amanda Anisimova,Kurumi Nara,118,0.517241379,clay,french,R,61.02
1066,0,0.634920635,73.6,71.15,0.423076923,0.576923077,0.047619048,F,Venus Williams,Kurumi Nara,47,0.412698413,clay,french,R,61.02
1067,0,0.628205128,0,0,0.394736842,0.605263158,0.012820513,F,Francoise Abanda,Kurumi Nara,63,0.487179487,grass,wimbledon,R,61.02
1068,0,0.74,83.94594595,69.58333333,0.5,0.5,0.02,F,Sara Sorribes Tormo,Kurumi Nara,56,0.6,hard,us,R,61.02
1069,0.014925373,0.744444444,78.95522388,74.28571429,0.387755102,0.612244898,0.022222222,F,Svetlana Kuznetsova,Kurumi Nara,95,0.544444444,hard,us,R,61.02
1070,0,0.769230769,86.15,78.27272727,0.48,0.52,0.019230769,F,Lucie Safarova,Kurumi Nara,40,0.480769231,hard,us,R,61.02
1071,0,0.590361446,87.95918367,75.20588235,0.574468085,0.425531915,0,F,Stefanie Voegele,Kurumi Nara,69,0.56626506,hard,aus,R,61.02
1322,0,0.592592593,74.9375,76.75,0.5,0.5,0.037037037,F,Taylor Townsend,Miyu Kato,46,0.407407407,clay,french,R,61.42
1436,0.039215686,0.593023256,0,0,0.533333333,0.466666667,0.046511628,F,Carina Witthoeft,Lauren Davis,85,0.523255814,clay,french,R,62
1437,0.022727273,0.6875,0,0,0.454545455,0.545454545,0.078125,F,Varvara Lepchenko,Lauren Davis,54,0.515625,grass,wimbledon,R,62
1438,0.018181818,0.597826087,84.96363636,77.96296296,0.511111111,0.488888889,0.108695652,F,Sofia Kenin,Lauren Davis,79,0.489130435,hard,us,R,62
1017,0,0.529411765,92.66666667,61.24137931,0.464285714,0.535714286,0.044117647,F,Sara Errani,Misaki Doi,60,0.411764706,clay,french,L,62.6
1018,0,0.672727273,0,0,0.423076923,0.576923077,0.036363636,F,Kirsten Flipkens,Misaki Doi,52,0.472727273,grass,wimbledon,L,62.6
1019,0,0.631578947,92,73.36363636,0.384615385,0.615384615,0.078947368,F,Barbora Strycova,Misaki Doi,31,0.342105263,hard,us,L,62.6
1020,0.022727273,0.656716418,89.84090909,76.0952381,0.476190476,0.523809524,0.029850746,F,Pauline Parmentier,Misaki Doi,70,0.626865672,hard,aus,L,62.6
1262,0,0.571428571,0,0,0.423076923,0.576923077,0.023809524,F,Maria Sakkari,Carla Suarez Navarro,64,0.619047619,clay,french,R,63.78
1263,0,0.666666667,81.77083333,70.75,0.651162791,0.348837209,0,F,Sorana Cirstea,Carla Suarez Navarro,79,0.597222222,clay,french,R,63.78
1264,0,0.724137931,88.78571429,79.4375,0.459459459,0.540540541,0,F,Elena Vesnina,Carla Suarez Navarro,85,0.637931034,clay,french,R,63.78
1265,0,0.75,90.78787879,69.5,0.4375,0.5625,0.022727273,F,Simona Halep,Carla Suarez Navarro,36,0.363636364,clay,french,R,63.78
1266,0,0.718309859,91.70588235,76.61111111,0.488372093,0.511627907,0.028169014,F,Eugenie Bouchard,Carla Suarez Navarro,82,0.605633803,grass,wimbledon,R,63.78
1267,0,0.729166667,0,0,0.409090909,0.590909091,0,F,Shuai Peng,Carla Suarez Navarro,35,0.458333333,grass,wimbledon,R,63.78
1744,0.063492063,0.552631579,86.19047619,53,0.542372881,0.457627119,0.052631579,F,Sofia Kenin,Sachia Vickery,109,0.51754386,hard,us,R,63.78
1726,0.016393443,0.709302326,86.60655738,73.42857143,0.465116279,0.534883721,0.046511628,F,Ying Ying Duan,Claire Liu,80,0.5,hard,us,R,64
1772,0.024390244,0.706896552,0,0,0.444444444,0.555555556,0.034482759,F,Natalia Vikhlyantseva,Vania King,50,0.465517241,hard,aus,R,64
837,0.023809524,0.711864407,75.45238095,68.07142857,0.518518519,0.481481481,0.050847458,F,Samantha Stosur,Kristina Kucova,49,0.457627119,clay,french,R,64.17
838,0,0.666666667,0,0,0.53125,0.46875,0,F,Bianca Andreescu,Kristina Kucova,65,0.62745098,grass,wimbledon,R,64.17
839,0,0.574468085,91.77777778,82.05555556,0.611111111,0.388888889,0.042553191,F,Timea Bacsinszky,Kristina Kucova,23,0.382978723,grass,wimbledon,R,64.17
840,0.025,0.634920635,0,0,0.529411765,0.470588235,0.015873016,F,Anastasija Sevastova,Kristina Kucova,57,0.53968254,hard,aus,R,64.17
980,0.027777778,0.642857143,83.41666667,67.6875,0.514285714,0.485714286,0.071428571,F,Myrtille Georges,Yulia Putintseva,61,0.625,clay,french,R,64.17
981,0,0.710280374,81.53947368,71.56,0.516129032,0.483870968,0.056074766,F,Johanna Larsson,Yulia Putintseva,90,0.579439252,clay,french,R,64.17
982,0,0.636363636,78.82857143,71.05555556,0.583333333,0.416666667,0.036363636,F,,Yulia Putintseva,52,0.436363636,clay,french,R,64.17
983,0,0.583333333,0,0,0.607142857,0.392857143,0.05,F,Anastasija Sevastova,Yulia Putintseva,60,0.466666667,grass,wimbledon,R,64.17
984,0.025,0.606060606,92,71.95833333,0.533333333,0.466666667,0.03030303,F,Agnieszka Radwanska,Yulia Putintseva,56,0.454545455,hard,us,R,64.17
985,0.045454545,0.666666667,0,0,0.588235294,0.411764706,0.04040404,F,Lara Arruabarrena,Yulia Putintseva,103,0.515151515,hard,aus,R,64.17
986,0.073170732,0.683333333,85.95121951,76.53333333,0.565217391,0.434782609,0.066666667,F,Jelena Ostapenko,Yulia Putintseva,45,0.383333333,hard,aus,R,64.17
1185,0,0.734939759,75.95081967,70.57894737,0.511111111,0.488888889,0.036144578,F,Eugenie Bouchard,Risa Ozaki,70,0.542168675,clay,french,R,64.17
1186,0.02,0.81300813,0,0,0.428571429,0.571428571,0.016260163,F,Denisa Allertova,Risa Ozaki,96,0.569105691,grass,wimbledon,R,64.17
1187,0,0.777777778,89.62857143,75.88888889,0.65,0.35,0.022222222,F,Shuai Zhang,Risa Ozaki,36,0.444444444,hard,us,R,64.17
1188,0.042553191,0.643835616,85.31914894,68.65384615,0.441176471,0.558823529,0,F,Sara Errani,Risa Ozaki,60,0.465753425,hard,aus,R,64.17
1335,0.03030303,0.589285714,71.42424242,80.84210526,0.461538462,0.538461538,0.071428571,F,Caroline Garcia,Nao Hibino,37,0.464285714,clay,french,R,64.17
1336,0.026315789,0.678571429,88.63157895,69.875,0.444444444,0.555555556,0.035714286,F,Madison Keys,Nao Hibino,44,0.482142857,grass,wimbledon,R,64.17
1337,0.037037037,0.627906977,92.35185185,81.74193548,0.538461538,0.461538462,0.011627907,F,Catherine Bellis,Nao Hibino,93,0.604651163,hard,us,R,64.17
1338,0.017857143,0.691358025,90.83928571,80.4,0.522727273,0.477272727,0.061728395,F,Lucie Safarova,Nao Hibino,71,0.543209877,hard,us,R,64.17
1339,0,0.678571429,0,0,0.466666667,0.533333333,0.035714286,F,Anastasija Sevastova,Nao Hibino,25,0.535714286,hard,aus,R,64.17
1400,0.034482759,0.69047619,89.20689655,64.33333333,0.533333333,0.466666667,0.023809524,F,Lucie Safarova,Veronica Cepede Royg,60,0.714285714,clay,french,R,64.17
1401,0.026315789,0.666666667,88.36842105,79.55882353,0.551724138,0.448275862,0.035087719,F,Anastasia Pavlyuchenkova,Veronica Cepede Royg,98,0.50877193,clay,french,R,64.17
1402,0,0.666666667,0,0,0.52238806,0.47761194,0.031007752,F,Mariana Duque Marino,Veronica Cepede Royg,113,0.519379845,clay,french,R,64.17
1403,0.043478261,0.657142857,75.04347826,59.44444444,0.536585366,0.463414634,0.085714286,F,Karolina Pliskova,Veronica Cepede Royg,83,0.585714286,clay,french,R,64.17
1404,0,0.718309859,0,0,0.393939394,0.606060606,0.070422535,F,Barbora Strycova,Veronica Cepede Royg,52,0.464788732,grass,wimbledon,R,64.17
1617,0.024390244,0.594202899,89.65853659,76.88461538,0.447368421,0.552631579,0.028985507,F,Angelique Kerber,Irina Falconi,56,0.550724638,grass,wimbledon,R,64.17
1618,0,0.455696203,0,0,0.542857143,0.457142857,0.075949367,F,Nicole Gibbs,Irina Falconi,55,0.443037975,hard,aus,R,64.17
1727,0.12962963,0.54,90.42592593,74.26829268,0.5,0.5,0.05,F,Johanna Konta,Aleksandra Krunic,104,0.6,hard,us,R,64.17
1728,0.025,0.634920635,93.5,77.27272727,0.558823529,0.441176471,0.015873016,F,Julia Goerges,Aleksandra Krunic,49,0.53968254,hard,us,R,64.17
828,0.081632653,0.569767442,69.89795918,61.12121212,0.403846154,0.596153846,0.046511628,F,Monica Puig,Roberta Vinci,79,0.604651163,clay,french,R,64.57
829,0.054054054,0.596774194,0,0,0.526315789,0.473684211,0,F,Kristyna Pliskova,Roberta Vinci,59,0.612903226,grass,wimbledon,R,64.57
830,0,0.618181818,88.32352941,72.35,0.571428571,0.428571429,0.018181818,F,Sloane Stephens,Roberta Vinci,57,0.509090909,hard,us,R,64.57
831,0.052631579,0.59375,94.39473684,76.18181818,0.470588235,0.529411765,0.0625,F,CoCo Vandeweghe,Roberta Vinci,56,0.53125,hard,aus,R,64.57
1012,0,0.794117647,62.2037037,35.61538462,0.5,0.5,0.014705882,F,Misaki Doi,Sara Errani,76,0.529411765,clay,french,R,64.57
1013,0,0.823529412,70.35714286,59.55555556,0.541666667,0.458333333,0,F,Kristina Mladenovic,Sara Errani,51,0.470588235,clay,french,R,64.57
1014,0,0.872727273,0,0,0.518518519,0.481481481,0.018181818,F,Tsvetana Pironkova,Sara Errani,44,0.490909091,grass,wimbledon,R,64.57
1015,0,0.888888889,52.53571429,33.16666667,0.459459459,0.540540541,0.015873016,F,Risa Ozaki,Sara Errani,76,0.587301587,hard,aus,R,64.57
1016,0,0.770833333,74.45945946,25.5,0.722222222,0.277777778,0.020833333,F,Ekaterina Makarova,Sara Errani,43,0.375,hard,aus,R,64.57
1272,0.038461538,0.565217391,82.42307692,68.21052632,0.5,0.5,0.02173913,F,Marketa Vondrousova,Amandine Hesse,25,0.347826087,clay,french,R,64.57
1273,0.0625,0.666666667,90.65625,76.06666667,0.458333333,0.541666667,0.020833333,F,Shuai Peng,Amandine Hesse,44,0.5,hard,us,R,64.57
1353,0.071428571,0.65625,89.52380952,69.5,0.475,0.525,0.03125,F,Alison Riske,Barbora Strycova,62,0.625,clay,french,R,64.57
1354,0,0.553571429,95.25806452,78.39130435,0.52173913,0.47826087,0.035714286,F,,Barbora Strycova,54,0.410714286,clay,french,R,64.57
1355,0.068965517,0.58,0,0,0.451612903,0.548387097,0.08,F,Veronica Cepede Royg,Barbora Strycova,69,0.62,grass,wimbledon,R,64.57
1356,0.06,0.649350649,0,0,0.386363636,0.613636364,0.025974026,F,Naomi Osaka,Barbora Strycova,74,0.571428571,grass,wimbledon,R,64.57
1357,0.107142857,0.583333333,97.92857143,83.63157895,0.466666667,0.533333333,0.020833333,F,Misaki Doi,Barbora Strycova,55,0.625,hard,us,R,64.57
1358,0,0.710526316,86.37037037,70.4,0.454545455,0.545454545,0.026315789,F,Jennifer Brady,Barbora Strycova,26,0.289473684,hard,us,R,64.57
1359,0.15,0.754716981,98.4,82.53846154,0.486486486,0.513513514,0,F,Elizaveta Kulichkova,Barbora Strycova,64,0.698113208,hard,aus,R,64.57
1360,0.037037037,0.72,97.62962963,78.22222222,0.477272727,0.522727273,0.04,F,Andrea Petkovic,Barbora Strycova,74,0.586666667,hard,aus,R,64.57
1361,0.108108108,0.616666667,97.97297297,79.65,0.43902439,0.56097561,0.05,F,Caroline Garcia,Barbora Strycova,68,0.683333333,hard,aus,R,64.57
1362,0.02,0.649350649,99.56,83.24,0.526315789,0.473684211,0.025974026,F,Serena Williams,Barbora Strycova,66,0.493506494,hard,aus,R,64.57
841,0.133333333,0.642857143,84.86666667,69.45833333,0.487804878,0.512195122,0.014285714,F,Mandy Minella,Kirsten Flipkens,80,0.585714286,clay,french,R,64.96
842,0.018181818,0.647058824,86.76363636,70.21428571,0.52173913,0.47826087,0.023529412,F,Samantha Stosur,Kirsten Flipkens,61,0.541176471,clay,french,R,64.96
843,0.044444444,0.703125,0,0,0.526315789,0.473684211,0.015625,F,Misaki Doi,Kirsten Flipkens,67,0.59375,grass,wimbledon,R,64.96
844,0.022222222,0.642857143,93.02222222,80.65217391,0.447368421,0.552631579,0.028571429,F,Angelique Kerber,Kirsten Flipkens,76,0.542857143,grass,wimbledon,R,64.96
845,0.057142857,0.5,94.02857143,72.5,0.388888889,0.611111111,0.071428571,F,Elena Vesnina,Kirsten Flipkens,70,0.514285714,hard,us,R,64.96
846,0.0625,0.524590164,96.21875,79.07407407,0.529411765,0.470588235,0.032786885,F,Johanna Konta,Kirsten Flipkens,55,0.557377049,hard,aus,R,64.96
1630,0.03030303,0.523809524,0,0,0.5,0.5,0.095238095,F,Kristina Kucova,Bianca Andreescu,49,0.476190476,grass,wimbledon,R,65
967,0.034482759,0.557692308,95.65517241,86.89473684,0.590909091,0.409090909,0.076923077,F,,Francesca Schiavone,42,0.423076923,clay,french,R,65.35
968,0.066666667,0.46875,0,0,0.535714286,0.464285714,0.0625,F,Mandy Minella,Francesca Schiavone,58,0.875,grass,wimbledon,R,65.35
969,0.117647059,0.472222222,89.11764706,76.57142857,0.5,0.5,0.138888889,F,Elina Svitolina,Francesca Schiavone,27,0.388888889,grass,wimbledon,R,65.35
970,0.071428571,0.49122807,0,0,0.484848485,0.515151515,0.035087719,F,Julia Boserup,Francesca Schiavone,45,0.578947368,hard,aus,R,65.35
1086,0.018181818,0.632183908,84.76363636,73.09677419,0.551020408,0.448979592,0.011494253,F,Elise Mertens,Daria Gavrilova,96,0.563218391,clay,french,R,65.35
1087,0.084337349,0.680327869,0,0,0.532467532,0.467532468,0.073770492,F,Petra Martic,Daria Gavrilova,117,0.631147541,grass,wimbledon,R,65.35
1088,0,0.565217391,80.92307692,65,0.56,0.44,0.065217391,F,Allie Kiick,Daria Gavrilova,53,0.543478261,hard,us,R,65.35
1089,0.065789474,0.603174603,92.65789474,73.47619048,0.5,0.5,0.063492063,F,Shelby Rogers,Daria Gavrilova,133,0.571428571,hard,us,R,65.35
1090,0.087719298,0.703703704,92.85964912,71.38095238,0.5,0.5,0.037037037,F,Naomi Broady,Daria Gavrilova,86,0.691358025,hard,aus,R,65.35
1091,0.016666667,0.652173913,91.95,79.48275862,0.551020408,0.448979592,0.032608696,F,Ana Konjuh,Daria Gavrilova,85,0.532608696,hard,aus,R,65.35
1092,0.037735849,0.602272727,93.56603774,77.3125,0.489795918,0.510204082,0.034090909,F,Timea Bacsinszky,Daria Gavrilova,103,0.556818182,hard,aus,R,65.35
1093,0.117647059,0.485714286,97.41176471,80.03030303,0.470588235,0.529411765,0.042857143,F,Karolina Pliskova,Daria Gavrilova,52,0.485714286,hard,aus,R,65.35
1122,0,0.488888889,94.63636364,78.7,0.5,0.5,0.066666667,F,Dominika Cibulkova,Lara Arruabarrena,44,0.444444444,clay,french,R,65.35
1123,0.041666667,0.461538462,0,0,0.523809524,0.476190476,0.057692308,F,Anett Kontaveit,Lara Arruabarrena,52,0.403846154,grass,wimbledon,R,65.35
1124,0.075,0.547945205,97.225,74.4516129,0.466666667,0.533333333,0.02739726,F,Jelena Ostapenko,Lara Arruabarrena,64,0.410958904,hard,us,R,65.35
