,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0,0.18518518518518517,0.48214285714285715,113.37037037037037,85.5925925925926,0.5,0.5,0.03571428571428571,M,Illya Marchenko,Andy Murray,115,0.625,hard,aus
1,0.09433962264150944,0.5353535353535354,118.94339622641509,96.95,0.3888888888888889,0.6111111111111112,0.06060606060606061,M,Andy Murray,Illya Marchenko,96,0.5454545454545454,hard,aus
2,0.25,0.5352112676056338,0.0,0.0,0.5,0.5,0.04225352112676056,M,Yen Hsun Lu,Andrey Rublev,137,0.647887323943662,hard,aus
3,0.23076923076923078,0.5555555555555556,0.0,0.0,0.4166666666666667,0.5833333333333334,0.05982905982905983,M,Andrey Rublev,Yen Hsun Lu,122,0.6153846153846154,hard,aus
4,0.125,0.5748502994011976,100.09375,85.609375,0.5050505050505051,0.494949494949495,0.041916167664670656,M,Gerald Melzer,Alex De Minaur,166,0.592814371257485,hard,aus
5,0.0380952380952381,0.6687898089171974,107.05714285714286,93.47826086956522,0.5222222222222223,0.4777777777777778,0.03821656050955414,M,Alex De Minaur,Gerald Melzer,158,0.5732484076433121,hard,aus
6,0.23595505617977527,0.5894039735099338,113.89887640449439,93.9622641509434,0.48484848484848486,0.5151515151515151,0.059602649006622516,M,Sam Querrey,Quentin Halys,137,0.6556291390728477,hard,aus
7,0.38271604938271603,0.6090225563909775,119.34567901234568,97.47619047619048,0.4842105263157895,0.5157894736842106,0.07518796992481203,M,Quentin Halys,Sam Querrey,147,0.7142857142857143,hard,aus
8,0.4050632911392405,0.7117117117117117,0.0,0.0,0.4827586206896552,0.5172413793103449,0.05405405405405406,M,Konstantin Kravchuk,John Isner,123,0.7837837837837838,hard,aus
9,0.24324324324324326,0.6607142857142857,0.0,0.0,0.5263157894736842,0.47368421052631576,0.03571428571428571,M,John Isner,Konstantin Kravchuk,100,0.6785714285714286,hard,aus
10,0.05660377358490566,0.5353535353535354,0.0,0.0,0.4642857142857143,0.5357142857142857,0.04040404040404041,M,Mischa Zverev,Guillermo Garcia Lopez,92,0.5656565656565656,hard,aus
11,0.11594202898550725,0.69,0.0,0.0,0.453125,0.546875,0.02,M,Guillermo Garcia Lopez,Mischa Zverev,107,0.64,hard,aus
12,0.3,0.5263157894736842,0.0,0.0,0.532258064516129,0.46774193548387094,0.09473684210526316,M,Lucas Pouille,Alexander Bublik,103,0.6526315789473685,hard,aus
13,0.10909090909090909,0.5789473684210527,0.0,0.0,0.48148148148148145,0.5185185185185185,0.07368421052631578,M,Alexander Bublik,Lucas Pouille,87,0.5684210526315789,hard,aus
14,0.2,0.45454545454545453,119.1,94.6,0.47058823529411764,0.5294117647058824,0.09090909090909091,M,Luca Vanni,Tomas Berdych,33,0.7727272727272727,hard,aus
15,0.058823529411764705,0.6071428571428571,117.6470588235294,92.75,0.75,0.25,0.10714285714285714,M,Tomas Berdych,Luca Vanni,17,0.42857142857142855,hard,aus
16,0.16326530612244897,0.6363636363636364,0.0,0.0,0.5192307692307693,0.4807692307692308,0.03896103896103896,M,Nicolas Mahut,Ryan Harrison,98,0.6753246753246753,hard,aus
17,0.017857142857142856,0.5894736842105263,0.0,0.0,0.5102040816326531,0.4897959183673469,0.05263157894736842,M,Ryan Harrison,Nicolas Mahut,74,0.5157894736842106,hard,aus
18,0.04819277108433735,0.7477477477477478,105.62650602409639,92.85185185185185,0.43548387096774194,0.5645161290322581,0.009009009009009009,M,Roger Federer,Jurgen Melzer,94,0.5585585585585585,hard,aus
19,0.25757575757575757,0.6407766990291263,114.48484848484848,96.38888888888889,0.4647887323943662,0.5352112676056338,0.009708737864077669,M,Jurgen Melzer,Roger Federer,120,0.6893203883495146,hard,aus
20,0.2441860465116279,0.5695364238410596,0.0,0.0,0.5789473684210527,0.42105263157894735,0.0728476821192053,M,Lukas Lacko,Albert Ramos Vinolas,141,0.6291390728476821,hard,aus
21,0.19767441860465115,0.6142857142857143,0.0,0.0,0.46808510638297873,0.5319148936170213,0.02857142857142857,M,Albert Ramos Vinolas,Lukas Lacko,150,0.6714285714285714,hard,aus
22,0.0641025641025641,0.5492957746478874,110.43589743589743,90.1,0.4936708860759494,0.5063291139240507,0.028169014084507043,M,Kei Nishikori,Andrey Kuznetsov,136,0.5563380281690141,hard,aus
23,0.11224489795918367,0.620253164556962,104.20408163265306,85.16666666666667,0.48514851485148514,0.5148514851485149,0.0,M,Andrey Kuznetsov,Kei Nishikori,164,0.6392405063291139,hard,aus
24,0.20588235294117646,0.6375,115.49019607843137,95.73076923076923,0.5238095238095238,0.47619047619047616,0.0375,M,Martin Klizan,Stan Wawrinka,161,0.65625,hard,aus
25,0.05,0.7643312101910829,104.33333333333333,91.88571428571429,0.5346534653465347,0.46534653465346537,0.012738853503184714,M,Stan Wawrinka,Martin Klizan,156,0.643312101910828,hard,aus
26,0.04081632653061224,0.5764705882352941,0.0,0.0,0.4807692307692308,0.5192307692307693,0.058823529411764705,M,Steve Johnson,Federico Delbonis,68,0.611764705882353,hard,aus
27,0.3488372093023256,0.5443037974683544,0.0,0.0,0.5396825396825397,0.4603174603174603,0.012658227848101266,M,Federico Delbonis,Steve Johnson,96,0.7974683544303798,hard,aus
28,0.08450704225352113,0.5,111.45070422535211,93.625,0.4945054945054945,0.5054945054945055,0.04929577464788732,M,Paolo Lorenzi,James Duckworth,138,0.6408450704225352,hard,aus
29,0.12345679012345678,0.574468085106383,110.35802469135803,87.38181818181818,0.5425531914893617,0.4574468085106383,0.03546099290780142,M,James Duckworth,Paolo Lorenzi,145,0.6666666666666666,hard,aus
30,0.012345679012345678,0.5625,0.0,0.0,0.5340909090909091,0.4659090909090909,0.05555555555555555,M,Viktor Troicki,Damir Dzumhur,129,0.6111111111111112,hard,aus
31,0.17721518987341772,0.6422764227642277,0.0,0.0,0.5121951219512195,0.4878048780487805,0.016260162601626018,M,Damir Dzumhur,Viktor Troicki,138,0.6666666666666666,hard,aus
32,0.11363636363636363,0.55,0.0,0.0,0.5263157894736842,0.47368421052631576,0.075,M,Diego Schwartzman,Pablo Cuevas,58,0.475,hard,aus
33,0.11904761904761904,0.5833333333333334,0.0,0.0,0.5384615384615384,0.46153846153846156,0.05555555555555555,M,Pablo Cuevas,Diego Schwartzman,94,0.7222222222222222,hard,aus
34,0.05172413793103448,0.6373626373626373,102.22413793103448,84.18181818181819,0.48484848484848486,0.5151515151515151,0.0,M,Sam Groth,Steve Darcis,113,0.7252747252747253,hard,aus
35,0.2698412698412698,0.5478260869565217,122.33333333333333,102.5909090909091,0.4264705882352941,0.5735294117647058,0.06956521739130435,M,Steve Darcis,Sam Groth,93,0.591304347826087,hard,aus
36,0.18823529411764706,0.5743243243243243,0.0,0.0,0.504950495049505,0.49504950495049505,0.05405405405405406,M,Andreas Seppi,Paul Henri Mathieu,147,0.6824324324324325,hard,aus
