,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
0,0.7,0.5370370370370371,0.3,0.46296296296296297,M,Illya Marchenko,Andy Murray,hard,aus
1,0.0,0.5094339622641509,1.0,0.49056603773584906,M,Andy Murray,Illya Marchenko,hard,aus
2,0.42105263157894735,0.5,0.5789473684210527,0.5,M,Yen Hsun Lu,Andrey Rublev,hard,aus
3,0.5333333333333333,0.5076923076923077,0.4666666666666667,0.49230769230769234,M,Andrey Rublev,Yen Hsun Lu,hard,aus
4,0.25,0.4583333333333333,0.75,0.5416666666666666,M,Gerald Melzer,Alex De Minaur,hard,aus
5,0.0,0.49523809523809526,1.0,0.5047619047619047,M,Alex De Minaur,Gerald Melzer,hard,aus
6,0.47619047619047616,0.4943820224719101,0.5238095238095238,0.5056179775280899,M,Sam Querrey,Quentin Halys,hard,aus
7,0.5483870967741935,0.48148148148148145,0.45161290322580644,0.5185185185185185,M,Quentin Halys,Sam Querrey,hard,aus
8,0.34375,0.4810126582278481,0.65625,0.5189873417721519,M,Konstantin Kravchuk,John Isner,hard,aus
9,0.4444444444444444,0.5,0.5555555555555556,0.5,M,John Isner,Konstantin Kravchuk,hard,aus
10,0.6666666666666666,0.5094339622641509,0.3333333333333333,0.49056603773584906,M,Mischa Zverev,Guillermo Garcia Lopez,hard,aus
11,0.375,0.4492753623188406,0.625,0.5507246376811594,M,Guillermo Garcia Lopez,Mischa Zverev,hard,aus
12,0.6,0.58,0.4,0.42,M,Lucas Pouille,Alexander Bublik,hard,aus
13,0.5,0.4727272727272727,0.5,0.5272727272727272,M,Alexander Bublik,Lucas Pouille,hard,aus
14,0.0,0.5,1.0,0.5,M,Luca Vanni,Tomas Berdych,hard,aus
15,1.0,0.7058823529411765,0.0,0.29411764705882354,M,Tomas Berdych,Luca Vanni,hard,aus
16,0.5,0.5306122448979592,0.5,0.46938775510204084,M,Nicolas Mahut,Ryan Harrison,hard,aus
17,0.0,0.5357142857142857,1.0,0.4642857142857143,M,Ryan Harrison,Nicolas Mahut,hard,aus
18,0.75,0.5060240963855421,0.25,0.4939759036144578,M,Roger Federer,Jurgen Melzer,hard,aus
19,0.4117647058823529,0.5454545454545454,0.5882352941176471,0.45454545454545453,M,Jurgen Melzer,Roger Federer,hard,aus
