,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
0,0.5,0.5614035087719298,0.5,0.43859649122807015,M,Andrey Kuznetsov,Andy Murray,clay,french
1,0.8333333333333334,0.5192307692307693,0.16666666666666666,0.4807692307692308,M,Andy Murray,Andrey Kuznetsov,clay,french
2,0.3888888888888889,0.463768115942029,0.6111111111111112,0.5362318840579711,M,Martin Klizan,Laurent Lokoli,clay,french
3,0.25,0.45977011494252873,0.75,0.5402298850574713,M,Laurent Lokoli,Martin Klizan,clay,french
4,0.5,0.532608695652174,0.5,0.4673913043478261,M,Nicolas Almagro,Marcos Baghdatis,clay,french
5,0.5625,0.4583333333333333,0.4375,0.5416666666666666,M,Marcos Baghdatis,Nicolas Almagro,clay,french
6,0.6666666666666666,0.509090909090909,0.3333333333333333,0.4909090909090909,M,Juan Martin Del Potro,Guido Pella,clay,french
7,0.46153846153846156,0.5,0.5384615384615384,0.5,M,Guido Pella,Juan Martin Del Potro,clay,french
8,0.5517241379310345,0.45348837209302323,0.4482758620689655,0.5465116279069767,M,Jordan Thompson,John Isner,clay,french
9,0.4444444444444444,0.46153846153846156,0.5555555555555556,0.5384615384615384,M,John Isner,Jordan Thompson,clay,french
10,0.6666666666666666,0.5076923076923077,0.3333333333333333,0.49230769230769234,M,Nicolas Jarry,Karen Khachanov,clay,french
11,0.25,0.5157894736842106,0.75,0.4842105263157895,M,Karen Khachanov,Nicolas Jarry,clay,french
12,0.75,0.509090909090909,0.25,0.4909090909090909,M,Tomas Berdych,Jan Lennard Struff,clay,french
13,0.75,0.5161290322580645,0.25,0.4838709677419355,M,Jan Lennard Struff,Tomas Berdych,clay,french
14,0.2857142857142857,0.4642857142857143,0.7142857142857143,0.5357142857142857,M,Fernando Verdasco,Alexander Zverev,clay,french
15,0.0,0.5056179775280899,0.0,0.4943820224719101,M,Alexander Zverev,Fernando Verdasco,clay,french
16,0.1111111111111111,0.46296296296296297,0.8888888888888888,0.5370370370370371,M,Jared Donaldson,Pierre Hugues Herbert,clay,french
17,0.16666666666666666,0.5116279069767442,0.8333333333333334,0.4883720930232558,M,Pierre Hugues Herbert,Jared Donaldson,clay,french
18,0.5714285714285714,0.5238095238095238,0.42857142857142855,0.47619047619047616,M,Nicolas Kicker,Damir Dzumhur,clay,french
19,0.0,0.5352112676056338,0.0,0.4647887323943662,M,Damir Dzumhur,Nicolas Kicker,clay,french
20,0.8,0.5384615384615384,0.2,0.46153846153846156,M,Pablo Cuevas,Maxime Hamou,clay,french
21,0.2857142857142857,0.543859649122807,0.7142857142857143,0.45614035087719296,M,Maxime Hamou,Pablo Cuevas,clay,french
22,0.5263157894736842,0.5689655172413793,0.47368421052631576,0.43103448275862066,M,Hyeon Chung,Sam Querrey,clay,french
23,0.6666666666666666,0.5166666666666667,0.3333333333333333,0.48333333333333334,M,Sam Querrey,Hyeon Chung,clay,french
24,0.5,0.4166666666666667,0.5,0.5833333333333334,M,Denis Istomin,Ernesto Escobedo,clay,french
25,0.4444444444444444,0.5,0.5555555555555556,0.5,M,Ernesto Escobedo,Denis Istomin,clay,french
26,0.0,0.47540983606557374,1.0,0.5245901639344263,M,Jeremy Chardy,Radu Albot,clay,french
27,0.2727272727272727,0.4406779661016949,0.7272727272727273,0.559322033898305,M,Radu Albot,Jeremy Chardy,clay,french
28,0.5,0.5333333333333333,0.5,0.4666666666666667,M,Kei Nishikori,Thanasi Kokkinakis,clay,french
29,0.3333333333333333,0.5,0.6666666666666666,0.5,M,Thanasi Kokkinakis,Kei Nishikori,clay,french
30,1.0,0.62,0.0,0.38,M,Jozef Kovalik,Stan Wawrinka,clay,french
31,0.5,0.40476190476190477,0.5,0.5952380952380952,M,Stan Wawrinka,Jozef Kovalik,clay,french
32,1.0,0.4827586206896552,0.0,0.5172413793103449,M,Andreas Seppi,Santiago Giraldo,clay,french
33,0.45454545454545453,0.543859649122807,0.5454545454545454,0.45614035087719296,M,Santiago Giraldo,Andreas Seppi,clay,french
34,0.5833333333333334,0.4925373134328358,0.4166666666666667,0.5074626865671642,M,Fabio Fognini,Frances Tiafoe,clay,french
35,0.0,0.5194805194805194,1.0,0.4805194805194805,M,Frances Tiafoe,Fabio Fognini,clay,french
36,0.42857142857142855,0.5,0.5714285714285714,0.5,M,Arthur De Greef,Richard Gasquet,clay,french
37,0.5,0.5283018867924528,0.5,0.4716981132075472,M,Richard Gasquet,Arthur De Greef,clay,french
38,0.6153846153846154,0.5454545454545454,0.38461538461538464,0.45454545454545453,M,Victor Estrella Burgos,Teymuraz Gabashvili,clay,french
39,0.5555555555555556,0.5211267605633803,0.4444444444444444,0.4788732394366197,M,Teymuraz Gabashvili,Victor Estrella Burgos,clay,french
40,0.2,0.5161290322580645,0.8,0.4838709677419355,M,Alexandre Muller,Thiago Monteiro,clay,french
41,0.25,0.48936170212765956,0.75,0.5106382978723404,M,Thiago Monteiro,Alexandre Muller,clay,french
42,0.75,0.5,0.25,0.5,M,Gael Monfils,Dustin Brown,clay,french
43,0.0,0.532258064516129,1.0,0.46774193548387094,M,Dustin Brown,Gael Monfils,clay,french
44,0.5,0.5514018691588785,0.5,0.4485981308411215,M,Renzo Olivo,Jo Wilfried Tsonga,clay,french
45,0.0,0.4727272727272727,0.0,0.5272727272727272,M,Jo Wilfried Tsonga,Renzo Olivo,clay,french
46,0.0,0.5208333333333334,1.0,0.4791666666666667,M,Gastao Elias,Kyle Edmund,clay,french
47,0.6,0.5238095238095238,0.4,0.47619047619047616,M,Kyle Edmund,Gastao Elias,clay,french
48,0.25,0.41379310344827586,0.75,0.5862068965517241,M,Malek Jaziri,Kevin Anderson,clay,french
49,0.0,0.6,1.0,0.4,M,Kevin Anderson,Malek Jaziri,clay,french
50,0.8,0.5416666666666666,0.2,0.4583333333333333,M,Nick Kyrgios,Philipp Kohlschreiber,clay,french
51,0.7,0.5147058823529411,0.3,0.4852941176470588,M,Philipp Kohlschreiber,Nick Kyrgios,clay,french
52,0.4166666666666667,0.4722222222222222,0.5833333333333334,0.5277777777777778,M,Donald Young,David Ferrer,clay,french
53,0.4,0.49230769230769234,0.6,0.5076923076923077,M,David Ferrer,Donald Young,clay,french
54,0.8571428571428571,0.5671641791044776,0.14285714285714285,0.43283582089552236,M,Federico Delbonis,Konstantin Kravchuk,clay,french
55,0.4,0.5098039215686274,0.6,0.49019607843137253,M,Konstantin Kravchuk,Federico Delbonis,clay,french
56,0.6,0.3695652173913043,0.4,0.6304347826086957,M,Marin Cilic,Ernests Gulbis,clay,french
57,0.2857142857142857,0.5128205128205128,0.7142857142857143,0.48717948717948717,M,Ernests Gulbis,Marin Cilic,clay,french
58,0.5833333333333334,0.46511627906976744,0.4166666666666667,0.5348837209302325,M,Steve Darcis,Milos Raonic,clay,french
59,1.0,0.5490196078431373,0.0,0.45098039215686275,M,Milos Raonic,Steve Darcis,clay,french
60,0.7272727272727273,0.5125,0.2727272727272727,0.4875,M,Mikhail Youzhny,Rogerio Dutra Silva,clay,french
61,0.6,0.4827586206896552,0.4,0.5172413793103449,M,Rogerio Dutra Silva,Mikhail Youzhny,clay,french
62,1.0,0.4803921568627451,0.0,0.5196078431372549,M,Quentin Halys,Marco Trungelliti,clay,french
63,0.6875,0.5,0.3125,0.5,M,Marco Trungelliti,Quentin Halys,clay,french
64,0.4666666666666667,0.4461538461538462,0.5333333333333333,0.5538461538461539,M,Gilles Muller,Guillermo Garcia Lopez,clay,french
65,0.5,0.5301204819277109,0.5,0.46987951807228917,M,Guillermo Garcia Lopez,Gilles Muller,clay,french
66,0.5,0.5,0.5,0.5,M,Florian Mayer,Pablo Carreno Busta,clay,french
67,0.3333333333333333,0.4727272727272727,0.6666666666666666,0.5272727272727272,M,Pablo Carreno Busta,Florian Mayer,clay,french
68,0.625,0.484375,0.375,0.515625,M,Jerzy Janowicz,Taro Daniel,clay,french
69,0.23076923076923078,0.45588235294117646,0.7692307692307693,0.5441176470588235,M,Taro Daniel,Jerzy Janowicz,clay,french
70,0.5,0.5230769230769231,0.5,0.47692307692307695,M,Daniel Evans,Tommy Robredo,clay,french
71,1.0,0.38461538461538464,0.0,0.6153846153846154,M,Tommy Robredo,Daniel Evans,clay,french
72,0.0,0.4594594594594595,1.0,0.5405405405405406,M,Grigor Dimitrov,Stephane Robert,clay,french
73,0.5,0.4444444444444444,0.5,0.5555555555555556,M,Stephane Robert,Grigor Dimitrov,clay,french
74,0.5,0.5405405405405406,0.5,0.4594594594594595,M,Jiri Vesely,Jack Sock,clay,french
75,0.16666666666666666,0.5172413793103449,0.8333333333333334,0.4827586206896552,M,Jack Sock,Jiri Vesely,clay,french
76,0.7272727272727273,0.5555555555555556,0.2727272727272727,0.4444444444444444,M,Ryan Harrison,Aljaz Bedene,clay,french
77,0.2857142857142857,0.4222222222222222,0.7142857142857143,0.5777777777777777,M,Aljaz Bedene,Ryan Harrison,clay,french
78,0.5,0.5753424657534246,0.5,0.4246575342465753,M,Tennys Sandgren,Mikhail Kukushkin,clay,french
79,0.5,0.5,0.5,0.5,M,Mikhail Kukushkin,Tennys Sandgren,clay,french
80,0.6666666666666666,0.48936170212765956,0.3333333333333333,0.5106382978723404,M,Roberto Bautista Agut,John Millman,clay,french
81,0.6666666666666666,0.5192307692307693,0.3333333333333333,0.4807692307692308,M,John Millman,Roberto Bautista Agut,clay,french
82,0.0,0.5111111111111111,0.0,0.4888888888888889,M,Nikoloz Basilashvili,Gilles Simon,clay,french
83,0.0,0.5194805194805194,0.0,0.4805194805194805,M,Gilles Simon,Nikoloz Basilashvili,clay,french
84,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5555555555555556,M,Evgeny Donskoy,Viktor Troicki,clay,french
85,0.75,0.41025641025641024,0.25,0.5897435897435898,M,Viktor Troicki,Evgeny Donskoy,clay,french
86,0.7142857142857143,0.5581395348837209,0.2857142857142857,0.4418604651162791,M,Alex De Minaur,Robin Haase,clay,french
87,0.3333333333333333,0.5208333333333334,0.6666666666666666,0.4791666666666667,M,Robin Haase,Alex De Minaur,clay,french
88,0.0,0.45,0.0,0.55,M,Rafael Nadal,Benoit Paire,clay,french
89,1.0,0.47619047619047616,0.0,0.5238095238095238,M,Benoit Paire,Rafael Nadal,clay,french
90,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,M,Bernard Tomic,Dominic Thiem,clay,french
91,0.3333333333333333,0.46938775510204084,0.6666666666666666,0.5306122448979592,M,Dominic Thiem,Bernard Tomic,clay,french
92,0.5,0.5,0.5,0.5,M,Nicolas Mahut,Simone Bolelli,clay,french
93,0.8,0.5208333333333334,0.2,0.4791666666666667,M,Simone Bolelli,Nicolas Mahut,clay,french
94,0.375,0.5384615384615384,0.625,0.46153846153846156,M,Borna Coric,Mathias Bourgue,clay,french
95,0.0,0.39655172413793105,1.0,0.603448275862069,M,Mathias Bourgue,Borna Coric,clay,french
96,0.5,0.47115384615384615,0.5,0.5288461538461539,M,Steve Johnson,Yuichi Sugita,clay,french
97,0.3076923076923077,0.5,0.6923076923076923,0.5,M,Yuichi Sugita,Steve Johnson,clay,french
98,0.6,0.5873015873015873,0.4,0.4126984126984127,M,Stefanos Tsitsipas,Ivo Karlovic,clay,french
99,0.6666666666666666,0.559322033898305,0.3333333333333333,0.4406779661016949,M,Ivo Karlovic,Stefanos Tsitsipas,clay,french
100,0.25,0.5178571428571429,0.75,0.48214285714285715,M,Adrian Mannarino,Horacio Zeballos,clay,french
101,0.6666666666666666,0.46296296296296297,0.3333333333333333,0.5370370370370371,M,Horacio Zeballos,Adrian Mannarino,clay,french
102,0.0,0.5294117647058824,1.0,0.47058823529411764,M,David Goffin,Paul Henri Mathieu,clay,french
103,0.45454545454545453,0.5238095238095238,0.5454545454545454,0.47619047619047616,M,Paul Henri Mathieu,David Goffin,clay,french
104,0.5,0.47761194029850745,0.5,0.5223880597014925,M,Julien Benneteau,Lucas Pouille,clay,french
105,0.5714285714285714,0.4835164835164835,0.42857142857142855,0.5164835164835165,M,Lucas Pouille,Julien Benneteau,clay,french
106,0.3333333333333333,0.5232558139534884,0.6666666666666666,0.47674418604651164,M,Dusan Lajovic,Thomaz Bellucci,clay,french
107,0.42857142857142855,0.4891304347826087,0.5714285714285714,0.5108695652173914,M,Thomaz Bellucci,Dusan Lajovic,clay,french
108,0.25,0.47761194029850745,0.75,0.5223880597014925,M,Daniil Medvedev,Benjamin Bonzi,clay,french
109,0.2,0.47540983606557374,0.8,0.5245901639344263,M,Benjamin Bonzi,Daniil Medvedev,clay,french
110,0.5714285714285714,0.5,0.42857142857142855,0.5,M,Albert Ramos Vinolas,Marius Copil,clay,french
111,0.5,0.4696969696969697,0.5,0.5303030303030303,M,Marius Copil,Albert Ramos Vinolas,clay,french
112,0.0,0.4230769230769231,1.0,0.5769230769230769,M,Stefano Napolitano,Mischa Zverev,clay,french
113,0.0,0.48148148148148145,1.0,0.5185185185185185,M,Mischa Zverev,Stefano Napolitano,clay,french
114,0.0,0.47619047619047616,1.0,0.5238095238095238,M,Diego Schwartzman,Andrey Rublev,clay,french
115,0.6666666666666666,0.5098039215686274,0.3333333333333333,0.49019607843137253,M,Andrey Rublev,Diego Schwartzman,clay,french
116,0.5,0.5306122448979592,0.5,0.46938775510204084,M,Janko Tipsarevic,Joao Sousa,clay,french
117,0.5,0.4897959183673469,0.5,0.5102040816326531,M,Joao Sousa,Janko Tipsarevic,clay,french
118,0.4,0.44642857142857145,0.6,0.5535714285714286,M,Novak Djokovic,Marcel Granollers,clay,french
119,0.5,0.5344827586206896,0.5,0.46551724137931033,M,Marcel Granollers,Novak Djokovic,clay,french
120,0.7777777777777778,0.5483870967741935,0.2222222222222222,0.45161290322580644,M,Martin Klizan,Andy Murray,clay,french
121,0.6,0.5131578947368421,0.4,0.4868421052631579,M,Andy Murray,Martin Klizan,clay,french
122,0.5714285714285714,0.5142857142857142,0.42857142857142855,0.4857142857142857,M,Juan Martin Del Potro,Nicolas Almagro,clay,french
123,0.75,0.5526315789473685,0.25,0.4473684210526316,M,Nicolas Almagro,Juan Martin Del Potro,clay,french
124,0.65,0.5753424657534246,0.35,0.4246575342465753,M,Paolo Lorenzi,John Isner,clay,french
125,0.2857142857142857,0.4528301886792453,0.7142857142857143,0.5471698113207547,M,John Isner,Paolo Lorenzi,clay,french
126,0.5,0.46511627906976744,0.5,0.5348837209302325,M,Tomas Berdych,Karen Khachanov,clay,french
127,0.42857142857142855,0.45614035087719296,0.5714285714285714,0.543859649122807,M,Karen Khachanov,Tomas Berdych,clay,french
128,0.6,0.45714285714285713,0.4,0.5428571428571428,M,Pierre Hugues Herbert,Fernando Verdasco,clay,french
129,0.36363636363636365,0.4666666666666667,0.6363636363636364,0.5333333333333333,M,Fernando Verdasco,Pierre Hugues Herbert,clay,french
130,0.6666666666666666,0.5192307692307693,0.3333333333333333,0.4807692307692308,M,Pablo Cuevas,Nicolas Kicker,clay,french
131,1.0,0.5555555555555556,0.0,0.4444444444444444,M,Nicolas Kicker,Pablo Cuevas,clay,french
132,0.6666666666666666,0.4186046511627907,0.3333333333333333,0.5813953488372093,M,Denis Istomin,Hyeon Chung,clay,french
133,0.5,0.49019607843137253,0.5,0.5098039215686274,M,Hyeon Chung,Denis Istomin,clay,french
134,0.5,0.4727272727272727,0.5,0.5272727272727272,M,Kei Nishikori,Jeremy Chardy,clay,french
135,0.5,0.46,0.5,0.54,M,Jeremy Chardy,Kei Nishikori,clay,french
136,0.5625,0.5,0.4375,0.5,M,Alexandr Dolgopolov,Stan Wawrinka,clay,french
137,0.5,0.5070422535211268,0.5,0.49295774647887325,M,Stan Wawrinka,Alexandr Dolgopolov,clay,french
138,0.75,0.5652173913043478,0.25,0.43478260869565216,M,Fabio Fognini,Andreas Seppi,clay,french
139,0.4,0.45614035087719296,0.6,0.543859649122807,M,Andreas Seppi,Fabio Fognini,clay,french
140,0.6,0.525,0.4,0.475,M,Victor Estrella Burgos,Richard Gasquet,clay,french
141,0.0,0.509090909090909,0.0,0.4909090909090909,M,Richard Gasquet,Victor Estrella Burgos,clay,french
142,0.0,0.575,1.0,0.425,M,Gael Monfils,Thiago Monteiro,clay,french
143,0.6666666666666666,0.5471698113207547,0.3333333333333333,0.4528301886792453,M,Thiago Monteiro,Gael Monfils,clay,french
144,0.5,0.47368421052631576,0.5,0.5263157894736842,M,Kyle Edmund,Renzo Olivo,clay,french
145,0.0,0.46938775510204084,1.0,0.5306122448979592,M,Renzo Olivo,Kyle Edmund,clay,french
146,0.42857142857142855,0.5076923076923077,0.5714285714285714,0.49230769230769234,M,Nick Kyrgios,Kevin Anderson,clay,french
147,0.6875,0.5294117647058824,0.3125,0.47058823529411764,M,Kevin Anderson,Nick Kyrgios,clay,french
148,0.5,0.5048543689320388,0.5,0.49514563106796117,M,Feliciano Lopez,David Ferrer,clay,french
149,0.36363636363636365,0.5098039215686274,0.6363636363636364,0.49019607843137253,M,David Ferrer,Feliciano Lopez,clay,french
150,1.0,0.5087719298245614,0.0,0.49122807017543857,M,Marin Cilic,Konstantin Kravchuk,clay,french
151,0.5,0.4090909090909091,0.5,0.5909090909090909,M,Konstantin Kravchuk,Marin Cilic,clay,french
152,0.5714285714285714,0.5,0.42857142857142855,0.5,M,Rogerio Dutra Silva,Milos Raonic,clay,french
153,1.0,0.5,0.0,0.5,M,Milos Raonic,Rogerio Dutra Silva,clay,french
154,0.3333333333333333,0.52,0.6666666666666666,0.48,M,Guillermo Garcia Lopez,Marco Trungelliti,clay,french
155,0.8333333333333334,0.575,0.16666666666666666,0.425,M,Marco Trungelliti,Guillermo Garcia Lopez,clay,french
156,0.5833333333333334,0.5,0.4166666666666667,0.5,M,Taro Daniel,Pablo Carreno Busta,clay,french
157,0.0,0.4567901234567901,1.0,0.5432098765432098,M,Pablo Carreno Busta,Taro Daniel,clay,french
158,0.0,0.4918032786885246,1.0,0.5081967213114754,M,Grigor Dimitrov,Tommy Robredo,clay,french
159,0.25,0.49230769230769234,0.75,0.5076923076923077,M,Tommy Robredo,Grigor Dimitrov,clay,french
160,0.5454545454545454,0.4666666666666667,0.45454545454545453,0.5333333333333333,M,Aljaz Bedene,Jiri Vesely,clay,french
161,0.5,0.48148148148148145,0.5,0.5185185185185185,M,Jiri Vesely,Aljaz Bedene,clay,french
162,0.5,0.45454545454545453,0.5,0.5454545454545454,M,Roberto Bautista Agut,Mikhail Kukushkin,clay,french
163,0.3333333333333333,0.5066666666666667,0.6666666666666666,0.49333333333333335,M,Mikhail Kukushkin,Roberto Bautista Agut,clay,french
164,0.5,0.43956043956043955,0.5,0.5604395604395604,M,Viktor Troicki,Nikoloz Basilashvili,clay,french
165,0.46153846153846156,0.5,0.5384615384615384,0.5,M,Nikoloz Basilashvili,Viktor Troicki,clay,french
166,0.5,0.5490196078431373,0.5,0.45098039215686275,M,Rafael Nadal,Robin Haase,clay,french
167,0.5,0.5,0.5,0.5,M,Robin Haase,Rafael Nadal,clay,french
168,0.8333333333333334,0.525,0.16666666666666666,0.475,M,Simone Bolelli,Dominic Thiem,clay,french
169,0.0,0.5098039215686274,0.0,0.49019607843137253,M,Dominic Thiem,Simone Bolelli,clay,french
170,0.375,0.4222222222222222,0.625,0.5777777777777777,M,Steve Johnson,Borna Coric,clay,french
171,0.5,0.49333333333333335,0.5,0.5066666666666667,M,Borna Coric,Steve Johnson,clay,french
172,0.37037037037037035,0.53125,0.6296296296296297,0.46875,M,Horacio Zeballos,Ivo Karlovic,clay,french
173,0.3333333333333333,0.5072463768115942,0.6666666666666666,0.4927536231884058,M,Ivo Karlovic,Horacio Zeballos,clay,french
174,0.45454545454545453,0.4819277108433735,0.5454545454545454,0.5180722891566265,M,David Goffin,Sergiy Stakhovsky,clay,french
175,0.6666666666666666,0.5081967213114754,0.3333333333333333,0.4918032786885246,M,Sergiy Stakhovsky,David Goffin,clay,french
176,0.6,0.47761194029850745,0.4,0.5223880597014925,M,Thomaz Bellucci,Lucas Pouille,clay,french
177,0.6666666666666666,0.4583333333333333,0.3333333333333333,0.5416666666666666,M,Lucas Pouille,Thomaz Bellucci,clay,french
178,1.0,0.5,0.0,0.5,M,Albert Ramos Vinolas,Benjamin Bonzi,clay,french
179,0.375,0.5526315789473685,0.625,0.4473684210526316,M,Benjamin Bonzi,Albert Ramos Vinolas,clay,french
180,0.3333333333333333,0.5098039215686274,0.6666666666666666,0.49019607843137253,M,Diego Schwartzman,Stefano Napolitano,clay,french
181,0.0,0.5217391304347826,1.0,0.4782608695652174,M,Stefano Napolitano,Diego Schwartzman,clay,french
182,0.0,0.5,1.0,0.5,M,Novak Djokovic,Joao Sousa,clay,french
183,0.5,0.4117647058823529,0.5,0.5882352941176471,M,Joao Sousa,Novak Djokovic,clay,french
184,0.4,0.46551724137931033,0.6,0.5344827586206896,M,Juan Martin Del Potro,Andy Murray,clay,french
185,0.3333333333333333,0.5303030303030303,0.6666666666666666,0.4696969696969697,M,Andy Murray,Juan Martin Del Potro,clay,french
186,0.5,0.4725274725274725,0.5,0.5274725274725275,M,Karen Khachanov,John Isner,clay,french
187,0.875,0.5211267605633803,0.125,0.4788732394366197,M,John Isner,Karen Khachanov,clay,french
188,0.5,0.4583333333333333,0.5,0.5416666666666666,M,Pablo Cuevas,Fernando Verdasco,clay,french
189,0.0,0.4473684210526316,0.0,0.5526315789473685,M,Fernando Verdasco,Pablo Cuevas,clay,french
190,0.7142857142857143,0.5056179775280899,0.2857142857142857,0.4943820224719101,M,Kei Nishikori,Hyeon Chung,clay,french
191,0.14285714285714285,0.39361702127659576,0.8571428571428571,0.6063829787234043,M,Hyeon Chung,Kei Nishikori,clay,french
192,0.5,0.46938775510204084,0.5,0.5306122448979592,M,Fabio Fognini,Stan Wawrinka,clay,french
193,0.0,0.5,0.0,0.5,M,Stan Wawrinka,Fabio Fognini,clay,french
