,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
0,0.5,0.47540983606557374,0.5,0.5245901639344263,M,Dusan Lajovic,Rafael Nadal,hard,us
1,0.0,0.46153846153846156,1.0,0.5384615384615384,M,Rafael Nadal,Dusan Lajovic,hard,us
2,1.0,0.5526315789473685,0.0,0.4473684210526316,M,Geoffrey Blancaneaux,Yuichi Sugita,hard,us
3,0.3333333333333333,0.5641025641025641,0.6666666666666666,0.4358974358974359,M,Yuichi Sugita,Geoffrey Blancaneaux,hard,us
4,0.5555555555555556,0.4230769230769231,0.4444444444444444,0.5769230769230769,M,Richard Gasquet,Leonardo Mayer,hard,us
5,1.0,0.5757575757575758,0.0,0.42424242424242425,M,Leonardo Mayer,Richard Gasquet,hard,us
6,0.5,0.4772727272727273,0.5,0.5227272727272727,M,Tomas Berdych,Ryan Harrison,hard,us
7,0.5555555555555556,0.5,0.4444444444444444,0.5,M,Ryan Harrison,Tomas Berdych,hard,us
8,0.2727272727272727,0.53125,0.7272727272727273,0.46875,M,Julien Benneteau,David Goffin,hard,us
9,0.0,0.4915254237288136,1.0,0.5084745762711864,M,David Goffin,Julien Benneteau,hard,us
10,0.3333333333333333,0.5932203389830508,0.6666666666666666,0.4067796610169492,M,Gael Monfils,Jeremy Chardy,hard,us
11,0.4117647058823529,0.4782608695652174,0.5882352941176471,0.5217391304347826,M,Jeremy Chardy,Gael Monfils,hard,us
12,1.0,0.4827586206896552,0.0,0.5172413793103449,M,Grigor Dimitrov,Vaclav Safranek,hard,us
13,0.3333333333333333,0.4666666666666667,0.6666666666666666,0.5333333333333333,M,Vaclav Safranek,Grigor Dimitrov,hard,us
14,0.625,0.3968253968253968,0.375,0.6031746031746031,M,Frances Tiafoe,Roger Federer,hard,us
15,0.8,0.5352112676056338,0.2,0.4647887323943662,M,Roger Federer,Frances Tiafoe,hard,us
16,0.3333333333333333,0.5,0.6666666666666666,0.5,M,Feliciano Lopez,Andrey Kuznetsov,hard,us
17,0.5652173913043478,0.46153846153846156,0.43478260869565216,0.5384615384615384,M,Andrey Kuznetsov,Feliciano Lopez,hard,us
18,1.0,0.5135135135135135,0.0,0.4864864864864865,M,Nick Kyrgios,John Millman,hard,us
19,0.4666666666666667,0.5217391304347826,0.5333333333333333,0.4782608695652174,M,John Millman,Nick Kyrgios,hard,us
20,0.5555555555555556,0.4492753623188406,0.4444444444444444,0.5507246376811594,M,Juan Martin del Potro,Henri Laaksonen,hard,us
21,0.4375,0.5,0.5625,0.5,M,Henri Laaksonen,Juan Martin del Potro,hard,us
22,0.2,0.475,0.8,0.525,M,Taylor Fritz,Marcos Baghdatis,hard,us
23,0.5714285714285714,0.5166666666666667,0.42857142857142855,0.48333333333333334,M,Marcos Baghdatis,Taylor Fritz,hard,us
24,1.0,0.5490196078431373,0.0,0.45098039215686275,M,Dominic Thiem,Alex de Minaur,hard,us
25,0.0,0.4375,1.0,0.5625,M,Alex de Minaur,Dominic Thiem,hard,us
26,0.3333333333333333,0.475,0.6666666666666666,0.525,M,Gilles Simon,Sam Querrey,hard,us
27,0.5,0.5306122448979592,0.5,0.46938775510204084,M,Sam Querrey,Gilles Simon,hard,us
28,0.2857142857142857,0.42028985507246375,0.7142857142857143,0.5797101449275363,M,Karen Khachanov,Yen Hsun Lu,hard,us
29,0.5,0.5084745762711864,0.5,0.4915254237288136,M,Yen Hsun Lu,Karen Khachanov,hard,us
30,0.6153846153846154,0.4939759036144578,0.38461538461538464,0.5060240963855421,M,Hyeon Chung,Horacio Zeballos,hard,us
31,0.625,0.4588235294117647,0.375,0.5411764705882353,M,Horacio Zeballos,Hyeon Chung,hard,us
32,0.6,0.532258064516129,0.4,0.46774193548387094,M,John Isner,Pierre Hugues Herbert,hard,us
33,0.3333333333333333,0.4647887323943662,0.6666666666666666,0.5352112676056338,M,Pierre Hugues Herbert,John Isner,hard,us
34,0.5714285714285714,0.52,0.42857142857142855,0.48,M,Jordan Thompson,Jack Sock,hard,us
35,0.2857142857142857,0.5315315315315315,0.7142857142857143,0.46846846846846846,M,Jack Sock,Jordan Thompson,hard,us
36,0.5333333333333333,0.5542168674698795,0.4666666666666667,0.4457831325301205,M,Gilles Muller,Bernard Tomic,hard,us
37,0.5,0.4716981132075472,0.5,0.5283018867924528,M,Bernard Tomic,Gilles Muller,hard,us
38,0.4,0.43478260869565216,0.6,0.5652173913043478,M,JC Aragone,Kevin Anderson,hard,us
39,0.75,0.5094339622641509,0.25,0.49056603773584906,M,Kevin Anderson,JC Aragone,hard,us
40,0.0,0.5060240963855421,1.0,0.4939759036144578,M,Alexander Zverev,Darian King,hard,us
41,0.2,0.4647887323943662,0.8,0.5352112676056338,M,Darian King,Alexander Zverev,hard,us
42,0.46153846153846156,0.4230769230769231,0.5384615384615384,0.5769230769230769,M,Marius Copil,Jo Wilfried Tsonga,hard,us
43,0.3333333333333333,0.4074074074074074,0.6666666666666666,0.5925925925925926,M,Jo Wilfried Tsonga,Marius Copil,hard,us
44,0.375,0.5344827586206896,0.625,0.46551724137931033,M,Steve Johnson,Nicolas Almagro,hard,us
45,0.375,0.4727272727272727,0.625,0.5272727272727272,M,Nicolas Almagro,Steve Johnson,hard,us
46,0.6666666666666666,0.47692307692307695,0.3333333333333333,0.5230769230769231,M,Robin Haase,Kyle Edmund,hard,us
47,0.5384615384615384,0.5,0.46153846153846156,0.5,M,Kyle Edmund,Robin Haase,hard,us
48,0.2857142857142857,0.5,0.7142857142857143,0.5,M,Ruben Bemelmans,Lucas Pouille,hard,us
49,0.3333333333333333,0.42105263157894735,0.6666666666666666,0.5789473684210527,M,Lucas Pouille,Ruben Bemelmans,hard,us
50,0.5555555555555556,0.5333333333333333,0.4444444444444444,0.4666666666666667,M,Janko Tipsarevic,Thanasi Kokkinakis,hard,us
51,0.6,0.5164835164835165,0.4,0.4835164835164835,M,Thanasi Kokkinakis,Janko Tipsarevic,hard,us
52,0.3333333333333333,0.4666666666666667,0.6666666666666666,0.5333333333333333,M,Marin Cilic,Tennys Sandgren,hard,us
