,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
0,0.0,0.4186046511627907,1.0,0.5813953488372093,M,Alexander Bublik,Andy Murray,grass,wimbledon
1,0.5714285714285714,0.5081967213114754,0.42857142857142855,0.4918032786885246,M,Andy Murray,Alexander Bublik,grass,wimbledon
2,0.1,0.43209876543209874,0.9,0.5679012345679012,M,Dustin Brown,Joao Sousa,grass,wimbledon
3,0.46153846153846156,0.475,0.5384615384615384,0.525,M,Joao Sousa,Dustin Brown,grass,wimbledon
4,0.6,0.4742268041237113,0.4,0.5257731958762887,M,Illya Marchenko,Jiri Vesely,grass,wimbledon
5,0.3684210526315789,0.5,0.631578947368421,0.5,M,Jiri Vesely,Illya Marchenko,grass,wimbledon
6,0.0,0.4696969696969697,0.0,0.5303030303030303,M,Fabio Fognini,Dmitry Tursunov,grass,wimbledon
7,0.6666666666666666,0.5,0.3333333333333333,0.5,M,Dmitry Tursunov,Fabio Fognini,grass,wimbledon
8,0.6666666666666666,0.47368421052631576,0.3333333333333333,0.5263157894736842,M,Pierre Hugues Herbert,Nick Kyrgios,grass,wimbledon
9,0.7777777777777778,0.5151515151515151,0.2222222222222222,0.48484848484848486,M,Nick Kyrgios,Pierre Hugues Herbert,grass,wimbledon
10,0.5,0.5,0.5,0.5,M,Benoit Paire,Rogerio Dutra Silva,grass,wimbledon
11,0.4,0.5,0.6,0.5,M,Rogerio Dutra Silva,Benoit Paire,grass,wimbledon
12,0.4117647058823529,0.5342465753424658,0.5882352941176471,0.4657534246575342,M,Jerzy Janowicz,Denis Shapovalov,grass,wimbledon
13,0.25,0.41333333333333333,0.75,0.5866666666666667,M,Denis Shapovalov,Jerzy Janowicz,grass,wimbledon
14,0.6666666666666666,0.47368421052631576,0.3333333333333333,0.5263157894736842,M,Lucas Pouille,Malek Jaziri,grass,wimbledon
15,0.5833333333333334,0.5205479452054794,0.4166666666666667,0.4794520547945205,M,Malek Jaziri,Lucas Pouille,grass,wimbledon
16,0.25,0.4473684210526316,0.75,0.5526315789473685,M,Cameron Norrie,Jo Wilfried Tsonga,grass,wimbledon
17,0.3333333333333333,0.5357142857142857,0.6666666666666666,0.4642857142857143,M,Jo Wilfried Tsonga,Cameron Norrie,grass,wimbledon
18,0.2,0.4603174603174603,0.8,0.5396825396825397,M,Yen Hsun Lu,Simone Bolelli,grass,wimbledon
19,0.8,0.5645161290322581,0.2,0.43548387096774194,M,Simone Bolelli,Yen Hsun Lu,grass,wimbledon
20,0.0,0.4827586206896552,0.0,0.5172413793103449,M,Nikoloz Basilashvili,Carlos Berlocq,grass,wimbledon
21,1.0,0.453125,0.0,0.546875,M,Carlos Berlocq,Nikoloz Basilashvili,grass,wimbledon
22,1.0,0.5362318840579711,0.0,0.463768115942029,M,Sam Querrey,Thomas Fabbiano,grass,wimbledon
23,0.5,0.5666666666666667,0.5,0.43333333333333335,M,Thomas Fabbiano,Sam Querrey,grass,wimbledon
24,0.6666666666666666,0.4470588235294118,0.3333333333333333,0.5529411764705883,M,Kevin Anderson,Fernando Verdasco,grass,wimbledon
25,0.48,0.4845360824742268,0.52,0.5154639175257731,M,Fernando Verdasco,Kevin Anderson,grass,wimbledon
26,0.8,0.5294117647058824,0.2,0.47058823529411764,M,Andreas Seppi,Norbert Gombos,grass,wimbledon
27,0.7142857142857143,0.5416666666666666,0.2857142857142857,0.4583333333333333,M,Norbert Gombos,Andreas Seppi,grass,wimbledon
28,0.7142857142857143,0.5185185185185185,0.2857142857142857,0.48148148148148145,M,Ruben Bemelmans,Tommy Haas,grass,wimbledon
29,0.6666666666666666,0.4782608695652174,0.3333333333333333,0.5217391304347826,M,Tommy Haas,Ruben Bemelmans,grass,wimbledon
30,0.5,0.4647887323943662,0.5,0.5352112676056338,M,Stan Wawrinka,Daniil Medvedev,grass,wimbledon
31,0.0,0.4696969696969697,1.0,0.5303030303030303,M,Daniil Medvedev,Stan Wawrinka,grass,wimbledon
32,0.2,0.44680851063829785,0.8,0.5531914893617021,M,John Millman,Rafael Nadal,grass,wimbledon
33,0.6,0.5333333333333333,0.4,0.4666666666666667,M,Rafael Nadal,John Millman,grass,wimbledon
34,0.6,0.45588235294117646,0.4,0.5441176470588235,M,Denis Istomin,Donald Young,grass,wimbledon
35,0.5,0.5217391304347826,0.5,0.4782608695652174,M,Donald Young,Denis Istomin,grass,wimbledon
36,0.5714285714285714,0.4854368932038835,0.42857142857142855,0.5145631067961165,M,Andrew Whittington,Thiago Monteiro,grass,wimbledon
37,0.6666666666666666,0.5512820512820513,0.3333333333333333,0.44871794871794873,M,Thiago Monteiro,Andrew Whittington,grass,wimbledon
38,0.5454545454545454,0.5116279069767442,0.45454545454545453,0.4883720930232558,M,Karen Khachanov,Andrey Kuznetsov,grass,wimbledon
39,0.5454545454545454,0.5,0.45454545454545453,0.5,M,Andrey Kuznetsov,Karen Khachanov,grass,wimbledon
40,0.5675675675675675,0.5317460317460317,0.43243243243243246,0.46825396825396826,M,Aljaz Bedene,Ivo Karlovic,grass,wimbledon
41,0.5238095238095238,0.4846153846153846,0.47619047619047616,0.5153846153846153,M,Ivo Karlovic,Aljaz Bedene,grass,wimbledon
42,0.0,0.5348837209302325,0.0,0.46511627906976744,M,Renzo Olivo,Damir Dzumhur,grass,wimbledon
43,1.0,0.5,0.0,0.5,M,Damir Dzumhur,Renzo Olivo,grass,wimbledon
44,0.42857142857142855,0.4722222222222222,0.5714285714285714,0.5277777777777778,M,Henri Laaksonen,Lukas Rosol,grass,wimbledon
45,0.4,0.5,0.6,0.5,M,Lukas Rosol,Henri Laaksonen,grass,wimbledon
46,0.5555555555555556,0.42,0.4444444444444444,0.58,M,Gilles Muller,Marton Fucsovics,grass,wimbledon
47,0.2857142857142857,0.4827586206896552,0.7142857142857143,0.5172413793103449,M,Marton Fucsovics,Gilles Muller,grass,wimbledon
48,0.8571428571428571,0.5128205128205128,0.14285714285714285,0.48717948717948717,M,Marco Cecchinato,Kei Nishikori,grass,wimbledon
49,0.5,0.5,0.5,0.5,M,Kei Nishikori,Marco Cecchinato,grass,wimbledon
50,0.75,0.4838709677419355,0.25,0.5161290322580645,M,Sergiy Stakhovsky,Julien Benneteau,grass,wimbledon
51,0.35294117647058826,0.44776119402985076,0.6470588235294118,0.5522388059701493,M,Julien Benneteau,Sergiy Stakhovsky,grass,wimbledon
52,0.6,0.5245901639344263,0.4,0.47540983606557374,M,Marius Copil,Peter Gojowczyk,grass,wimbledon
53,0.36363636363636365,0.4878048780487805,0.6363636363636364,0.5121951219512195,M,Peter Gojowczyk,Marius Copil,grass,wimbledon
54,0.3333333333333333,0.52,0.6666666666666666,0.48,M,Roberto Bautista Agut,Andreas Haider Maurer,grass,wimbledon
55,0.4,0.5,0.6,0.5,M,Andreas Haider Maurer,Roberto Bautista Agut,grass,wimbledon
56,0.18181818181818182,0.4603174603174603,0.8181818181818182,0.5396825396825397,M,Nicolas Kicker,Steve Johnson,grass,wimbledon
57,0.3333333333333333,0.5084745762711864,0.6666666666666666,0.4915254237288136,M,Steve Johnson,Nicolas Kicker,grass,wimbledon
58,0.2727272727272727,0.5,0.7272727272727273,0.5,M,Radu Albot,Facundo Bagnis,grass,wimbledon
59,0.25,0.509090909090909,0.75,0.4909090909090909,M,Facundo Bagnis,Radu Albot,grass,wimbledon
