ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
0.7,0.537037037,0.3,0.462962963,M,Illya Marchenko,Andy Murray,hard,aus
0,0.509433962,1,0.490566038,M,Andy Murray,Illya Marchenko,hard,aus
0.421052632,0.5,0.578947368,0.5,M,Yen Hsun Lu,Andrey Rublev,hard,aus
0.533333333,0.507692308,0.466666667,0.492307692,M,Andrey Rublev,Yen Hsun Lu,hard,aus
0.25,0.458333333,0.75,0.541666667,M,Gerald Melzer,Alex De Minaur,hard,aus
0,0.495238095,1,0.504761905,M,Alex De Minaur,Gerald Melzer,hard,aus
0.476190476,0.494382022,0.523809524,0.505617978,M,Sam Querrey,Quentin Halys,hard,aus
0.548387097,0.481481481,0.451612903,0.518518519,M,Quentin Halys,Sam Querrey,hard,aus
0.34375,0.481012658,0.65625,0.518987342,M,Konstantin Kravchuk,John Isner,hard,aus
0.444444444,0.5,0.555555556,0.5,M,John Isner,Konstantin Kravchuk,hard,aus
0.666666667,0.509433962,0.333333333,0.490566038,M,Mischa Zverev,Guillermo Garcia Lopez,hard,aus
0.375,0.449275362,0.625,0.550724638,M,Guillermo Garcia Lopez,Mischa Zverev,hard,aus
0.6,0.58,0.4,0.42,M,Lucas Pouille,Alexander Bublik,hard,aus
0.5,0.472727273,0.5,0.527272727,M,Alexander Bublik,Lucas Pouille,hard,aus
0,0.5,1,0.5,M,Luca Vanni,Tomas Berdych,hard,aus
1,0.705882353,0,0.294117647,M,Tomas Berdych,Luca Vanni,hard,aus
0.5,0.530612245,0.5,0.469387755,M,Nicolas Mahut,Ryan Harrison,hard,aus
0,0.535714286,1,0.464285714,M,Ryan Harrison,Nicolas Mahut,hard,aus
0.75,0.506024096,0.25,0.493975904,M,Roger Federer,Jurgen Melzer,hard,aus
0.411764706,0.545454545,0.588235294,0.454545455,M,Jurgen Melzer,Roger Federer,hard,aus
0.571428571,0.546511628,0.428571429,0.453488372,M,Lukas Lacko,Albert Ramos Vinolas,hard,aus
0.529411765,0.488372093,0.470588235,0.511627907,M,Albert Ramos Vinolas,Lukas Lacko,hard,aus
0.2,0.461538462,0.8,0.538461538,M,Kei Nishikori,Andrey Kuznetsov,hard,aus
0.545454545,0.5,0.454545455,0.5,M,Andrey Kuznetsov,Kei Nishikori,hard,aus
0.333333333,0.490196078,0.666666667,0.509803922,M,Martin Klizan,Stan Wawrinka,hard,aus
0.833333333,0.516666667,0.166666667,0.483333333,M,Stan Wawrinka,Martin Klizan,hard,aus
1,0.469387755,0,0.530612245,M,Steve Johnson,Federico Delbonis,hard,aus
0.6,0.581395349,0.4,0.418604651,M,Federico Delbonis,Steve Johnson,hard,aus
0.5,0.436619718,0.5,0.563380282,M,Paolo Lorenzi,James Duckworth,hard,aus
0.5,0.469135802,0.5,0.530864198,M,James Duckworth,Paolo Lorenzi,hard,aus
1,0.50617284,0,0.49382716,M,Viktor Troicki,Damir Dzumhur,hard,aus
0.428571429,0.506329114,0.571428571,0.493670886,M,Damir Dzumhur,Viktor Troicki,hard,aus
0.4,0.431818182,0.6,0.568181818,M,Diego Schwartzman,Pablo Cuevas,hard,aus
0.4,0.523809524,0.6,0.476190476,M,Pablo Cuevas,Diego Schwartzman,hard,aus
0.666666667,0.5,0.333333333,0.5,M,Sam Groth,Steve Darcis,hard,aus
0.411764706,0.523809524,0.588235294,0.476190476,M,Steve Darcis,Sam Groth,hard,aus
0.5,0.529411765,0.5,0.470588235,M,Andreas Seppi,Paul Henri Mathieu,hard,aus
0.515151515,0.5,0.484848485,0.5,M,Paul Henri Mathieu,Andreas Seppi,hard,aus
0.5,0.588235294,0.5,0.411764706,M,Nick Kyrgios,Gastao Elias,hard,aus
0.285714286,0.378378378,0.714285714,0.621621622,M,Gastao Elias,Nick Kyrgios,hard,aus
0.421052632,0.428571429,0.578947368,0.571428571,M,Thiago Monteiro,Jo Wilfried Tsonga,hard,aus
0.5,0.483333333,0.5,0.516666667,M,Jo Wilfried Tsonga,Thiago Monteiro,hard,aus
0.75,0.473684211,0.25,0.526315789,M,Stephane Robert,Dusan Lajovic,hard,aus
0.5,0.518518519,0.5,0.481481481,M,Dusan Lajovic,Stephane Robert,hard,aus
0.6875,0.539473684,0.3125,0.460526316,M,Adrian Mannarino,Karen Khachanov,hard,aus
0.375,0.577777778,0.625,0.422222222,M,Karen Khachanov,Adrian Mannarino,hard,aus
0.642857143,0.5,0.357142857,0.5,M,Jack Sock,Pierre Hugues Herbert,hard,aus
0.5,0.492753623,0.5,0.507246377,M,Pierre Hugues Herbert,Jack Sock,hard,aus
0.636363636,0.454545455,0.363636364,0.545454545,M,Thomaz Bellucci,Bernard Tomic,hard,aus
0.6,0.471698113,0.4,0.528301887,M,Bernard Tomic,Thomaz Bellucci,hard,aus
0.25,0.494949495,0.75,0.505050505,M,Aljaz Bedene,Victor Estrella Burgos,hard,aus
0.714285714,0.465753425,0.285714286,0.534246575,M,Victor Estrella Burgos,Aljaz Bedene,hard,aus
0.545454545,0.46,0.454545455,0.54,M,Daniel Evans,Facundo Bagnis,hard,aus
0.642857143,0.490566038,0.357142857,0.509433962,M,Facundo Bagnis,Daniel Evans,hard,aus
0.625,0.510869565,0.375,0.489130435,M,Marin Cilic,Jerzy Janowicz,hard,aus
0.48,0.472972973,0.52,0.527027027,M,Jerzy Janowicz,Marin Cilic,hard,aus
0.75,0.470588235,0.25,0.529411765,M,Jiri Vesely,Gael Monfils,hard,aus
0.5,0.468085106,0.5,0.531914894,M,Gael Monfils,Jiri Vesely,hard,aus
0.428571429,0.466666667,0.571428571,0.533333333,M,Borna Coric,Alexandr Dolgopolov,hard,aus
0.727272727,0.5,0.272727273,0.5,M,Alexandr Dolgopolov,Borna Coric,hard,aus
0.5,0.442105263,0.5,0.557894737,M,Philipp Kohlschreiber,Nikoloz Basilashvili,hard,aus
0.363636364,0.5,0.636363636,0.5,M,Nikoloz Basilashvili,Philipp Kohlschreiber,hard,aus
0.470588235,0.5,0.529411765,0.5,M,Robin Haase,Alexander Zverev,hard,aus
0.538461538,0.469135802,0.461538462,0.530864198,M,Alexander Zverev,Robin Haase,hard,aus
0,0.516129032,1,0.483870968,M,Marcos Baghdatis,Mikhail Youzhny,hard,aus
0.5,0.529411765,0.5,0.470588235,M,Mikhail Youzhny,Marcos Baghdatis,hard,aus
0.714285714,0.53030303,0.285714286,0.46969697,M,Rafael Nadal,Florian Mayer,hard,aus
0.8,0.509433962,0.2,0.490566038,M,Florian Mayer,Rafael Nadal,hard,aus
0.5,0.421052632,0.5,0.578947368,M,Guido Pella,Roberto Bautista Agut,hard,aus
0,0.5,1,0.5,M,Roberto Bautista Agut,Guido Pella,hard,aus
0,0.52238806,1,0.47761194,M,Alex Bolt,Yoshihito Nishioka,hard,aus
0.526315789,0.5,0.473684211,0.5,M,Yoshihito Nishioka,Alex Bolt,hard,aus
0.5,0.518987342,0.5,0.481012658,M,Ernesto Escobedo,Daniil Medvedev,hard,aus
0.555555556,0.544117647,0.444444444,0.455882353,M,Daniil Medvedev,Ernesto Escobedo,hard,aus
0,0.390243902,1,0.609756098,M,David Ferrer,Omar Jasika,hard,aus
0.25,0.5,0.75,0.5,M,Omar Jasika,David Ferrer,hard,aus
1,0.487179487,0,0.512820513,M,Michael Mmoh,Gilles Simon,hard,aus
0.5,0.509803922,0.5,0.490196078,M,Gilles Simon,Michael Mmoh,hard,aus
0.444444444,0.564102564,0.555555556,0.435897436,M,Rogerio Dutra Silva,Jared Donaldson,hard,aus
0.538461538,0.519480519,0.461538462,0.480519481,M,Jared Donaldson,Rogerio Dutra Silva,hard,aus
0.333333333,0.527272727,0.666666667,0.472727273,M,Milos Raonic,Dustin Brown,hard,aus
0.642857143,0.48,0.357142857,0.52,M,Dustin Brown,Milos Raonic,hard,aus
0.583333333,0.5,0.416666667,0.5,M,Jan Lennard Struff,Dominic Thiem,hard,aus
0.384615385,0.445945946,0.615384615,0.554054054,M,Dominic Thiem,Jan Lennard Struff,hard,aus
0.545454545,0.443298969,0.454545455,0.556701031,M,Joao Sousa,Jordan Thompson,hard,aus
