,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament,handedness
0,0.7,0.537037037,0.3,0.46296296299999995,M,Illya Marchenko,Andy Murray,hard,aus,R
1,0.444444444,0.477272727,0.5555555560000001,0.522727273,M,Andrey Rublev,Andy Murray,hard,aus,R
2,0.5,0.46428571399999996,0.5,0.535714286,M,Sam Querrey,Andy Murray,hard,aus,R
3,0.7,0.526315789,0.3,0.473684211,M,Mischa Zverev,Andy Murray,hard,aus,R
4,0.5,0.561403509,0.5,0.43859649100000003,M,Andrey Kuznetsov,Andy Murray,clay,french,R
5,0.7777777779999999,0.548387097,0.222222222,0.45161290299999995,M,Martin Klizan,Andy Murray,clay,french,R
6,0.4,0.465517241,0.6,0.534482759,M,Juan Martin Del Potro,Andy Murray,clay,french,R
7,0.8,0.490566038,0.2,0.509433962,M,Karen Khachanov,Andy Murray,clay,french,R
8,0.333333333,0.434782609,0.666666667,0.565217391,M,Kei Nishikori,Andy Murray,clay,french,R
9,1.0,0.54,0.0,0.46,M,Stan Wawrinka,Andy Murray,clay,french,R
10,0.0,0.418604651,1.0,0.581395349,M,Alexander Bublik,Andy Murray,grass,wimbledon,R
11,0.5555555560000001,0.48387096799999996,0.444444444,0.516129032,M,Dustin Brown,Andy Murray,grass,wimbledon,R
12,0.6,0.454545455,0.4,0.545454545,M,Fabio Fognini,Andy Murray,grass,wimbledon,R
13,1.0,0.528571429,0.0,0.471428571,M,Benoit Paire,Andy Murray,grass,wimbledon,R
14,0.14285714300000002,0.43902439,0.857142857,0.56097561,M,Sam Querrey,Andy Murray,grass,wimbledon,R
15,0.0,0.509433962,1.0,0.490566038,M,Andy Murray,Illya Marchenko,hard,aus,R 
16,0.36842105299999994,0.5,0.6315789470000001,0.5,M,Jiri Vesely,Illya Marchenko,grass,wimbledon,R 
17,0.42105263200000004,0.5,0.578947368,0.5,M,Yen Hsun Lu,Andrey Rublev,hard,aus,R
18,0.0,0.481481481,1.0,0.518518519,M,Andy Murray,Andrey Rublev,hard,aus,R
19,0.0,0.47619047600000003,1.0,0.523809524,M,Diego Schwartzman,Andrey Rublev,clay,french,R
20,0.14285714300000002,0.539473684,0.857142857,0.460526316,M,Grigor Dimitrov,Andrey Rublev,hard,us,R
21,0.166666667,0.472527473,0.833333333,0.527472527,M,Damir Dzumhur,Andrey Rublev,hard,us,R
22,0.333333333,0.535714286,0.666666667,0.46428571399999996,M,David Goffin,Andrey Rublev,hard,us,R
23,1.0,0.450980392,0.0,0.5490196079999999,M,Rafael Nadal,Andrey Rublev,hard,us,R
24,0.5,0.5046728970000001,0.5,0.495327103,M,Stefano Travaglia,Andrey Rublev,grass,wimbledon,R
25,0.28571428600000004,0.519230769,0.7142857140000001,0.480769231,M,Albert Ramos Vinolas,Andrey Rublev,grass,wimbledon,R
26,0.533333333,0.507692308,0.46666666700000003,0.492307692,M,Andrey Rublev,Yen Hsun Lu,hard,aus,R
27,0.28571428600000004,0.420289855,0.7142857140000001,0.579710145,M,Karen Khachanov,Yen Hsun Lu,hard,us,R
28,0.8,0.564516129,0.2,0.435483871,M,Simone Bolelli,Yen Hsun Lu,grass,wimbledon,R
29,0.25,0.45833333299999995,0.75,0.541666667,M,Gerald Melzer,Alex De Minaur,hard,aus,R
30,0.0,0.514705882,1.0,0.485294118,M,Sam Querrey,Alex De Minaur,hard,aus,R
31,0.333333333,0.520833333,0.666666667,0.47916666700000005,M,Robin Haase,Alex De Minaur,clay,french,R
32,0.0,0.495238095,1.0,0.504761905,M,Alex De Minaur,Gerald Melzer,hard,aus,L
33,0.47619047600000003,0.49438202200000003,0.523809524,0.505617978,M,Sam Querrey,Quentin Halys,hard,aus,R
34,0.6875,0.5,0.3125,0.5,M,Marco Trungelliti,Quentin Halys,clay,french,R
35,0.548387097,0.481481481,0.45161290299999995,0.518518519,M,Quentin Halys,Sam Querrey,hard,aus,R
36,0.5555555560000001,0.47826087,0.444444444,0.52173913,M,Alex De Minaur,Sam Querrey,hard,aus,R
37,0.6,0.490566038,0.4,0.509433962,M,Andy Murray,Sam Querrey,hard,aus,R
38,0.526315789,0.568965517,0.473684211,0.43103448299999997,M,Hyeon Chung,Sam Querrey,clay,french,R
39,0.333333333,0.475,0.666666667,0.525,M,Gilles Simon,Sam Querrey,hard,us,R
40,0.444444444,0.46808510600000003,0.5555555560000001,0.531914894,M,Dudi Sela,Sam Querrey,hard,us,R
41,0.473684211,0.508474576,0.526315789,0.491525424,M,Radu Albot,Sam Querrey,hard,us,R
42,0.444444444,0.473684211,0.5555555560000001,0.526315789,M,Mischa Zverev,Sam Querrey,hard,us,R
43,0.5,0.535714286,0.5,0.46428571399999996,M,Kevin Anderson,Sam Querrey,hard,us,R
44,0.5,0.566666667,0.5,0.433333333,M,Thomas Fabbiano,Sam Querrey,grass,wimbledon,R
45,0.40625,0.516129032,0.59375,0.48387096799999996,M,Nikoloz Basilashvili,Sam Querrey,grass,wimbledon,R
46,0.571428571,0.5256410260000001,0.428571429,0.474358974,M,Jo Wilfried Tsonga,Sam Querrey,grass,wimbledon,R
47,0.419354839,0.5130434779999999,0.580645161,0.486956522,M,Kevin Anderson,Sam Querrey,grass,wimbledon,R
48,0.40740740700000005,0.527027027,0.592592593,0.47297297299999996,M,Andy Murray,Sam Querrey,grass,wimbledon,R
49,0.307692308,0.412371134,0.692307692,0.587628866,M,Marin Cilic,Sam Querrey,grass,wimbledon,R
50,0.34375,0.481012658,0.65625,0.5189873420000001,M,Konstantin Kravchuk,John Isner,hard,aus,R
51,0.5,0.47552447600000003,0.5,0.524475524,M,Mischa Zverev,John Isner,hard,aus,R
52,0.551724138,0.45348837200000003,0.448275862,0.546511628,M,Jordan Thompson,John Isner,clay,french,R
53,0.65,0.575342466,0.35,0.424657534,M,Paolo Lorenzi,John Isner,clay,french,R
54,0.5,0.472527473,0.5,0.527472527,M,Karen Khachanov,John Isner,clay,french,R
55,0.333333333,0.46478873200000004,0.666666667,0.535211268,M,Pierre Hugues Herbert,John Isner,hard,us,R
56,0.46666666700000003,0.48214285700000004,0.533333333,0.517857143,M,Hyeon Chung,John Isner,hard,us,R
57,0.5,0.417910448,0.5,0.582089552,M,Mischa Zverev,John Isner,hard,us,R
58,0.434782609,0.53125,0.565217391,0.46875,M,Taylor Fritz,John Isner,grass,wimbledon,R
59,0.523809524,0.53968254,0.47619047600000003,0.46031746,M,Dudi Sela,John Isner,grass,wimbledon,R
60,0.444444444,0.5,0.5555555560000001,0.5,M,John Isner,Konstantin Kravchuk,hard,aus,R
61,0.857142857,0.5671641789999999,0.14285714300000002,0.432835821,M,Federico Delbonis,Konstantin Kravchuk,clay,french,R
62,1.0,0.50877193,0.0,0.49122807,M,Marin Cilic,Konstantin Kravchuk,clay,french,R
63,0.666666667,0.509433962,0.333333333,0.490566038,M,Mischa Zverev,Guillermo Garcia Lopez,hard,aus,R
64,0.46666666700000003,0.446153846,0.533333333,0.553846154,M,Gilles Muller,Guillermo Garcia Lopez,clay,french,R
65,0.833333333,0.575,0.166666667,0.425,M,Marco Trungelliti,Guillermo Garcia Lopez,clay,french,R
66,1.0,0.7142857140000001,0.0,0.28571428600000004,M,Milos Raonic,Guillermo Garcia Lopez,clay,french,R
67,0.375,0.449275362,0.625,0.5507246379999999,M,Guillermo Garcia Lopez,Mischa Zverev,hard,aus,L
68,0.4,0.534883721,0.6,0.46511627899999997,M,John Isner,Mischa Zverev,hard,aus,L
69,0.428571429,0.5,0.571428571,0.5,M,Malek Jaziri,Mischa Zverev,hard,aus,L
70,0.28571428600000004,0.538461538,0.7142857140000001,0.46153846200000004,M,Andy Murray,Mischa Zverev,hard,aus,L
71,0.6,0.5,0.4,0.5,M,Roger Federer,Mischa Zverev,hard,aus,L
