1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0.035087719,0.581632653,105,77.87179487,0.53968254,0.46031746,0.020408163,M,Andrey Kuznetsov,Andy Murray,118,0.642857143,clay,french
0.115384615,0.509803922,101.4423077,76.26086957,0.510638298,0.489361702,0.039215686,M,Andy Murray,Andrey Kuznetsov,82,0.460784314,clay,french
0.260869565,0.5,117,75.74193548,0.465116279,0.534883721,0.050724638,M,Martin Klizan,Laurent Lokoli,156,0.623188406,clay,french
0.045977011,0.527272727,101.7471264,81.44776119,0.484210526,0.515789474,0.066666667,M,Laurent Lokoli,Martin Klizan,147,0.575757576,clay,french
0.065217391,0.58974359,91.61956522,67.27419355,0.515789474,0.484210526,0.012820513,M,Nicolas Almagro,Marcos Baghdatis,134,0.608974359,clay,french
0.222222222,0.541353383,104.6944444,93.98181818,0.5,0.5,0.045112782,M,Marcos Baghdatis,Nicolas Almagro,155,0.706766917,clay,french
0.054545455,0.625,100.3454545,80.21875,0.479166667,0.520833333,0.011363636,M,Juan Martin Del Potro,Guido Pella,63,0.545454545,clay,french
0.270833333,0.71641791,113.3125,96.05882353,0.519230769,0.480769231,0.029850746,M,Guido Pella,Juan Martin Del Potro,92,0.776119403,clay,french
0.337209302,0.666666667,106.0465116,97.8,0.522222222,0.477777778,0.023255814,M,Jordan Thompson,John Isner,129,0.697674419,clay,french
0.115384615,0.666666667,93.35897436,86.56756757,0.474358974,0.525641026,0.017094017,M,John Isner,Jordan Thompson,117,0.666666667,clay,french
0.138461538,0.532786885,0,0,0.506329114,0.493670886,0.024590164,M,Nicolas Jarry,Karen Khachanov,139,0.647540984,clay,french
0.084210526,0.650684932,0,0,0.476744186,0.523255814,0.02739726,M,Karen Khachanov,Nicolas Jarry,129,0.589041096,clay,french
0.145454545,0.433070866,100.9818182,82.125,0.507462687,0.492537313,0.062992126,M,Tomas Berdych,Jan Lennard Struff,103,0.527559055,clay,french
0.064516129,0.596153846,108.6290323,85.58974359,0.529411765,0.470588235,0.028846154,M,Jan Lennard Struff,Tomas Berdych,128,0.653846154,clay,french
0.083333333,0.661417323,115.6785714,81.23684211,0.411764706,0.588235294,0.039370079,M,Fernando Verdasco,Alexander Zverev,123,0.535433071,clay,french
0,0.6953125,100.8314607,73.64705882,0.534246575,0.465753425,0.0390625,M,Alexander Zverev,Fernando Verdasco,132,0.5703125,clay,french
0.166666667,0.545454545,106.1851852,93.18918919,0.457142857,0.542857143,0.080808081,M,Jared Donaldson,Pierre Hugues Herbert,103,0.707070707,clay,french
0.139534884,0.443298969,111.6744186,89.22,0.4375,0.5625,0.041237113,M,Pierre Hugues Herbert,Jared Donaldson,93,0.659793814,clay,french
0.111111111,0.567567568,0,0,0.492537313,0.507462687,0.018018018,M,Nicolas Kicker,Damir Dzumhur,104,0.603603604,clay,french
0,0.682692308,0,0,0.507462687,0.492537313,0.009615385,M,Damir Dzumhur,Nicolas Kicker,111,0.644230769,clay,french
0.076923077,0.631067961,84.32307692,74.75757576,0.542372881,0.457627119,0.048543689,M,Pablo Cuevas,Maxime Hamou,88,0.572815534,clay,french
0.122807018,0.59375,85.71929825,71.8,0.507462687,0.492537313,0.041666667,M,Maxime Hamou,Pablo Cuevas,111,0.697916667,clay,french
0.327586207,0.483333333,103.6551724,72.76785714,0.514285714,0.485714286,0.05,M,Hyeon Chung,Sam Querrey,102,0.583333333,clay,french
0.1,0.576923077,100.2666667,80.76315789,0.527777778,0.472222222,0.057692308,M,Sam Querrey,Hyeon Chung,122,0.692307692,clay,french
0.125,0.52173913,0,0,0.524590164,0.475409836,0.02173913,M,Denis Istomin,Ernesto Escobedo,83,0.663043478,clay,french
0.160714286,0.595744681,0,0,0.555555556,0.444444444,0.010638298,M,Ernesto Escobedo,Denis Istomin,103,0.765957447,clay,french
0.016393443,0.635416667,91.31147541,73.625,0.483333333,0.516666667,0.03125,M,Jeremy Chardy,Radu Albot,87,0.625,clay,french
0.186440678,0.614583333,102.7118644,90.48571429,0.550724638,0.449275362,0.020833333,M,Radu Albot,Jeremy Chardy,105,0.71875,clay,french
0.133333333,0.547445255,97.37333333,80.96,0.538461538,0.461538462,0.087591241,M,Kei Nishikori,Thanasi Kokkinakis,119,0.569343066,clay,french
0.042857143,0.583333333,90,78.59090909,0.46835443,0.53164557,0.05,M,Thanasi Kokkinakis,Kei Nishikori,138,0.658333333,clay,french
0.02,0.510204082,96.12,67.42553191,0.544117647,0.455882353,0.010204082,M,Jozef Kovalik,Stan Wawrinka,106,0.693877551,clay,french
0.142857143,0.456521739,103.952381,82.72916667,0.37037037,0.62962963,0.02173913,M,Stan Wawrinka,Jozef Kovalik,84,0.586956522,clay,french
0.034482759,0.542056075,0,0,0.509803922,0.490196078,0.037383178,M,Andreas Seppi,Santiago Giraldo,83,0.476635514,clay,french
0.192982456,0.6,0,0,0.492063492,0.507936508,0.031578947,M,Santiago Giraldo,Andreas Seppi,119,0.663157895,clay,french
0.179104478,0.56302521,0,0,0.513888889,0.486111111,0.033613445,M,Fabio Fognini,Frances Tiafoe,123,0.605042017,clay,french
0.038961039,0.620967742,0,0,0.493150685,0.506849315,0.112903226,M,Frances Tiafoe,Fabio Fognini,120,0.588709677,clay,french
0.14,0.515463918,84.6,76.53333333,0.53968254,0.46031746,0.020618557,M,Arthur De Greef,Richard Gasquet,110,0.649484536,clay,french
0.075471698,0.540816327,99.9245283,64.58536585,0.431372549,0.568627451,0.040816327,M,Richard Gasquet,Arthur De Greef,85,0.520408163,clay,french
0.131313131,0.589285714,0,0,0.514018692,0.485981308,0.029761905,M,Victor Estrella Burgos,Teymuraz Gabashvili,178,0.636904762,clay,french
0.063380282,0.739583333,0,0,0.52892562,0.47107438,0.036458333,M,Teymuraz Gabashvili,Victor Estrella Burgos,182,0.630208333,clay,french
0.053763441,0.6,0,0,0.520408163,0.479591837,0.051612903,M,Alexandre Muller,Thiago Monteiro,165,0.632258065,clay,french
0.042553191,0.580246914,0,0,0.431578947,0.568421053,0.030864198,M,Thiago Monteiro,Alexandre Muller,152,0.586419753,clay,french
0.1,0.444444444,97.625,72.85365854,0.553191489,0.446808511,0.1,M,Gael Monfils,Dustin Brown,74,0.522222222,clay,french
0.032258065,0.720930233,93.43548387,87.71428571,0.474576271,0.525423729,0.034883721,M,Dustin Brown,Gael Monfils,102,0.686046512,clay,french
0.037383178,0.652439024,110.3457944,82.5,0.494949495,0.505050505,0.030487805,M,Renzo Olivo,Jo Wilfried Tsonga,162,0.603658537,clay,french
0,0.679012346,106.1181818,81.87755102,0.505050505,0.494949495,0.018518519,M,Jo Wilfried Tsonga,Renzo Olivo,164,0.611111111,clay,french
0.041666667,0.592592593,72.14583333,51.76666667,0.50877193,0.49122807,0.037037037,M,Gastao Elias,Kyle Edmund,90,0.703703704,clay,french
0.119047619,0.56,61.45238095,54.15625,0.476190476,0.523809524,0.013333333,M,Kyle Edmund,Gastao Elias,66,0.56,clay,french
0.137931034,0.707317073,0,0,0.458333333,0.541666667,0.048780488,M,Malek Jaziri,Kevin Anderson,35,0.585365854,clay,french
0.05,0.571428571,0,0,0.458333333,0.541666667,0.028571429,M,Kevin Anderson,Malek Jaziri,41,0.685714286,clay,french
0.104166667,0.564705882,87.4375,84.15151515,0.5,0.5,0.047058824,M,Nick Kyrgios,Philipp Kohlschreiber,84,0.682352941,clay,french
0.294117647,0.701030928,100.8088235,78.12,0.549295775,0.450704225,0.041237113,M,Philipp Kohlschreiber,Nick Kyrgios,98,0.731958763,clay,french
0.111111111,0.606741573,0,0,0.492063492,0.507936508,0.04494382,M,Donald Young,David Ferrer,214,0.707865169,clay,french
0.038461538,0.596330275,0,0,0.469230769,0.530769231,0.02293578,M,David Ferrer,Donald Young,182,0.596330275,clay,french
0.104477612,0.644230769,0,0,0.521126761,0.478873239,0.038461538,M,Federico Delbonis,Konstantin Kravchuk,95,0.682692308,clay,french
0.098039216,0.607142857,0,0,0.5,0.5,0.023809524,M,Konstantin Kravchuk,Federico Delbonis,93,0.714285714,clay,french
0.108695652,0.567901235,100.5869565,86.78125,0.428571429,0.571428571,0.037037037,M,Marin Cilic,Ernests Gulbis,66,0.604938272,clay,french
0.179487179,0.52,103.025641,88.38709677,0.534482759,0.465517241,0.066666667,M,Ernests Gulbis,Marin Cilic,90,0.773333333,clay,french
0.279069767,0.614285714,112.7209302,111.5909091,0.473684211,0.526315789,0.071428571,M,Steve Darcis,Milos Raonic,86,0.814285714,clay,french
