player,handedness,Height
Andy Murray,R,74.8
Andrey Kuznetsov,R,72.83
Laurent Lokoli,R,72
Martin Klizan,L,74.8
Marcos Baghdatis,R,70.1
Nicolas Almagro,R,72.05
Guido Pella,L,72.82
Juan Martin Del Potro,R,77.95
John Isner,R,81.89
Jordan Thompson,R,72
Karen Khachanov,R,77.95
Nicolas Jarry,R,77.95
Jan Lennard Struff,R,77.17
Tomas Berdych,R,77.17
Alexander Zverev,R,77.95
Fernando Verdasco,L,74.02
Pierre Hugues Herbert,R,74.02
Jared Donaldson,R,74.02
Damir Dzumhur,R,68.9
Nicolas Kicker,R,70
Maxime Hamou,R,72.83
Pablo Cuevas,R,70.87
Sam Querrey,R,78.5
Hyeon Chung,R,72.83
Ernesto Escobedo,R,72.83
Denis Istomin,R,74.02
Radu Albot,R,68.9
Jeremy Chardy,R,74.02
Thanasi Kokkinakis,R,77.17
Kei Nishikori,R,70.08
Stan Wawrinka,R,72.05
Jozef Kovalik,R,72.05
Santiago Giraldo,R,74.02
Andreas Seppi,R,74.8
Frances Tiafoe,R,74.02
Fabio Fognini,R,70.47
Richard Gasquet,R,72.83
Arthur De Greef,R,72
Teymuraz Gabashvili,R,74.02
Victor Estrella Burgos,R,68.11
Thiago Monteiro,L,72.05
Alexandre Muller,R,70.87
Dustin Brown,R,77.17
Gael Monfils,R,75.98
Jo Wilfried Tsonga,R,74.02
Renzo Olivo,R,71
Kyle Edmund,R,74.02
Gastao Elias,R,72.05
Kevin Anderson,R,79.92
Malek Jaziri,R,72.83
Philipp Kohlschreiber,R,70.08
Nick Kyrgios,R,75.98
David Ferrer,R,68.9
Donald Young,L,72.05
Konstantin Kravchuk,R,75.2
Federico Delbonis,L,74.8
Ernests Gulbis,R,74.8
Marin Cilic,R,77.95
Milos Raonic,R,77.17
Steve Darcis,R,70.08
Rogerio Dutra Silva,R,70.08
Mikhail Youzhny,R,72.05
Marco Trungelliti,R,70.87
Quentin Halys,R,75
Guillermo Garcia Lopez,R,73
Gilles Muller,L,75.59
Pablo Carreno Busta,R,74.02
Florian Mayer,R,74.8
Taro Daniel,R,75.2
Jerzy Janowicz,R,80.31
Tommy Robredo,R,70.87
Daniel Evans,R,69
Stephane Robert,R,72.83
Grigor Dimitrov,R,74.8
Jack Sock,R,75
Jiri Vesely,L,77.95
Aljaz Bedene,R,72.05
Ryan Harrison,R,74.02
Mikhail Kukushkin,R,72.05
Tennys Sandgren,R,74
John Millman,R,72.05
Roberto Bautista Agut,R,72.05
Gilles Simon,R,72.05
Nikoloz Basilashvili,R,73
Viktor Troicki,R,74.8
Evgeny Donskoy,R,73
Robin Haase,R,74.8
Alex De Minaur,R,71
Benoit Paire,R,77.17
Rafael Nadal,L,72.83
Dominic Thiem,R,72.83
Bernard Tomic,R,76.77
Simone Bolelli,R,72.05
Nicolas Mahut,R,75.2
Mathias Bourgue,R,74
Borna Coric,R,73
Yuichi Sugita,R,68.11
Steve Johnson,R,74
Ivo Karlovic,R,83.07
Stefanos Tsitsipas,R,76
Horacio Zeballos,L,74.02
Adrian Mannarino,L,71.26
Paul Henri Mathieu,R,73
David Goffin,R,70.87
Lucas Pouille,R,72.83
Julien Benneteau,R,72.83
Thomaz Bellucci,L,74.02
Dusan Lajovic,R,72.05
Benjamin Bonzi,R,72.83
Daniil Medvedev,R,77.95
Marius Copil,R,75.98
Albert Ramos Vinolas,L,74.02
Mischa Zverev,L,74.8
Stefano Napolitano,R,77.17
Andrey Rublev,R,74.02
Diego Schwartzman,R,66.93
Joao Sousa,R,72.83
Janko Tipsarevic,R,70.87
Marcel Granollers,R,74.8
Novak Djokovic,R,74.02
Paolo Lorenzi,R,72
Alexandr Dolgopolov,R,70.87
Feliciano Lopez,L,73.83
Sergiy Stakhovsky,R,75.98
Angelique Kerber,L,68.11
Ekaterina Makarova,L,69.29
Lesia Tsurenko,R,68.5
Kateryna Kozlova,R,66.93
Louisa Chirico,R,68.9
Jelena Ostapenko,R,69.69
Monica Puig,R,66.93
Roberta Vinci,R,64.57
Samantha Stosur,R,68.9
Kristina Kucova,R,64.17
Kirsten Flipkens,R,64.96
Mandy Minella,R,70.87
Bethanie Mattek Sands,R,66.14
Evgeniya Rodina,R,66.93
Julia Boserup,R,70.87
Petra Kvitova,L,72.05
Caroline Wozniacki,R,70.47
Jaimee Fourlis,R,66.14
Francoise Abanda,R,70.08
Tessah Andrianjafitrimo,R,NA
Ajla Tomljanovic,R,70.87
Kiki Bertens,R,71.65
Viktorija Golubic,R,66.54
Aliaksandra Sasnovich,R,68.5
Camila Giorgi,R,66.14
Oceane Dodin,R,72.05
Christina McHale,R,66.93
Svetlana Kuznetsova,R,68.5
,NA,NA
Francesca Schiavone,R,65.35
Johanna Larsson,R,68.5
Natalia Vikhlyantseva,R,72.83
Myrtille Georges,R,68.5
Yulia Putintseva,R,64.17
Mirjana Lucic Baroni,R,71.26
Cagla Buyukakcay,R,67.72
Marina Erakovic,R,68.5
Shelby Rogers,R,68.9
Sara Errani,R,64.57
Misaki Doi,L,62.6
Jennifer Brady,R,70.08
Kristina Mladenovic,R,72.44
Venus Williams,R,73
Qiang Wang,R,67.72
Amanda Anisimova,R,70.87
Kurumi Nara,R,61.02
Jelena Jankovic,R,69.69
Richel Hogenkamp,R,66.93
Elise Mertens,R,70.47
Daria Gavrilova,R,65.35
Timea Bacsinszky,R,66.93
Sara Sorribes Tormo,R,69.29
Madison Brengle,R,66
Julia Goerges,R,70.87
Lara Arruabarrena,R,65.35
Dominika Cibulkova,R,68.5
Elina Svitolina,R,68.5
Yaroslava Shvedova,R,70.87
Mona Barthel,R,72.83
Tsvetana Pironkova,R,70.87
Magda Linette,R,67.32
Anastasija Sevastova,R,66.54
Annika Beck,R,66.93
Risa Ozaki,R,64.17
Eugenie Bouchard,R,70.08
Kateryna Bondarenko,R,68.9
Petra Martic,R,71.26
Ashleigh Barty,R,65.35
Madison Keys,R,70.08
Elena Vesnina,R,70.87
Beatriz Haddad Maia,L,72.44
Sorana Cirstea,R,69.69
Shuai Peng,R,70.08
Maria Sakkari,R,67.72
Carla Suarez Navarro,R,63.78
Marketa Vondrousova,L,68.11
Amandine Hesse,R,64.57
Ying Ying Duan,R,72
Tatjana Maria,R,67.72
Jana Cepelova,R,66.14
Simona Halep,R,66.14
Johanna Konta,R,71
Su Wei Hsieh,R,66.54
Miyu Kato,R,61.42
Taylor Townsend,L,66.93
Chloe Paquet,R,NA
Kristyna Pliskova,L,72
Nao Hibino,R,64.17
Caroline Garcia,R,69.69
Barbora Strycova,R,64.57
Alison Riske,R,69
Timea Babos,R,70.47
Naomi Osaka,R,70.87
Alison Van Uytvanck,R,70.47
Fiona Ferro,R,66.93
Agnieszka Radwanska,R,67.72
Veronica Cepede Royg,R,64.17
Lucie Safarova,L,69.69
Mariana Duque Marino,R,66.54
Irina Camelia Begu,R,71.26
Magdalena Rybarikova,R,70.87
Coco Vandeweghe,R,72.83
Lauren Davis,R,62
Carina Witthoeft,R,69.29
Irina Khromacheva,L,65.75
Pauline Parmentier,R,68.9
Ekaterina Alexandrova,R,NA
Katerina Siniakova,R,68.5
Saisai Zheng,R,66.93
Karolina Pliskova,R,73.23
Catherine Bellis,R,67
Shuai Zhang,R,69.69
Anett Kontaveit,R,68.5
Ons Jabeur,R,65.75
Ana Konjuh,R,68.5
Varvara Lepchenko,R,70.08
Daria Kasatkina,R,66.93
Anastasia Pavlyuchenkova,R,69.69
Alexander Bublik,R,77.17
Illya Marchenko,R,72.83
Dmitry Tursunov,R,72.83
Denis Shapovalov,L,72.05
Cameron Norrie,L,74.02
Yen Hsun Lu,R,70.87
Carlos Berlocq,R,72.05
Thomas Fabbiano,R,68.11
Norbert Gombos,R,77.17
Tommy Haas,R,74.02
Ruben Bemelmans,L,72.05
Andrew Whittington,R,74.02
Lukas Rosol,R,77.17
Henri Laaksonen,R,72.83
Marton Fucsovics,R,74.02
Marco Cecchinato,R,72.83
Peter Gojowczyk,R,74.02
Andreas Haider Maurer,R,74.8
Facundo Bagnis,L,72.05
Stefano Travaglia,R,72.83
Christian Garin,R,72.83
Sebastian Ofner,R,75.2
James Ward,R,75
Dudi Sela,R,68.9
Taylor Fritz,R,76
Roger Federer,R,72.83
Vasek Pospisil,R,76.38
Ricardas Berankis,R,68.9
Daniel Brands,R,77.17
Alexander Ward,R,73
Brydan Klein,R,72.05
Adam Pavlasek,R,73
Irina Falconi,R,64.17
Yanina Wickmayer,R,71.65
Garbine Muguruza,R,71.65
Katie Boulter,R,70.98
Bianca Andreescu,R,65
Polona Hercog,,71.65
Monica Niculescu,R,66.14
Denisa Allertova,R,71
Xinyun Han,L,67.72
Zarina Diyas,R,67.72
Arina Rodionova,R,66.14
Sloane Stephens,R,67
Anastasia Potapova,R,68.11
Andrea Petkovic,R,70.87
Danka Kovinic,R,66.5
Naomi Broady,R,74.41
Sabine Lisicki,R,70.08
Kai Chen Chang,R,65.75
Alize Cornet,R,68.11
Aryna Sabalenka,R,71.65
Donna Vekic,R,70
Ana Bogdan,R,67.72
Anna Blinkova,R,69.69
Victoria Azarenka,R,72.05
Maryna Zanevska,R,68.9
Heather Watson,R,66.14
Laura Robson,L,70.87
Geoffrey Blancaneaux,R,70
Leonardo Mayer,R,74.8
Vaclav Safranek,R,73
Juan Martin del Potro,R,77.95
Alex de Minaur,R,71
JC Aragone,R,70
Darian King,R,74
Adrian Menendez Maceiras,R,72
Bjorn Fratangelo,R,72
Brienne Minor,R,68
CoCo Vandeweghe,R,72.83
Allie Kiick,R,67
Mihaela Buzarnescu,L,68.9
Viktoria Kuzmova,R,71
Misa Eguchi,R,68.11
Claire Liu,R,64
Aleksandra Krunic,R,64.17
Sofia Kenin,R,66.93
Maria Sharapova,R,74.02
Nicole Gibbs,R,66
Kaia Kanepi,R,71.26
Sachia Vickery,R,63.78
Gerald Melzer,L,74.02
Luca Vanni,R,77.95
Jurgen Melzer,L,72.44
Lukas Lacko,R,72.83
James Duckworth,R,72.05
Sam Groth,R,76.38
Yoshihito Nishioka,L,67
Alex Bolt,L,72
Omar Jasika,L,72
Michael Mmoh,R,73
Radek Stepanek,R,73.23
Reilly Opelka,R,83
Christopher O'Connell,R,72
Blake Mott,R,71
Ivan Dodig,R,72.05
Noah Rubin,R,69
Eri Hozumi,R,66
Destanee Aiava,R,69
Patricia Maria Tig,R,NA
Rebecca Sramkova,R,70.47
Stefanie Voegele,R,66
Galina Voskoboeva,R,72
Vania King,R,64
Laura Siegemund,R,66
Anna Tatishvili,R,67
Karin Knapp,R,71
Lizette Cabrera,R,66
Luksika Kumkhum,R,66
Elizaveta Kulichkova,R,69.5
Kayla Day,L,68
Belinda Bencic,R,69
Serena Williams,R,69
Samantha Crawford,R,72
