1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0.069767442,0.581081081,110.744186,89.48275862,0.5,0.5,0.027027027,M,Alexander Bublik,Andy Murray,100,0.756756757,grass,wimbledon
0.229508197,0.642105263,123.3934426,104.8636364,0.450980392,0.549019608,0.126315789,M,Andy Murray,Alexander Bublik,69,0.536842105,grass,wimbledon
0.12345679,0.669421488,0,0,0.465116279,0.534883721,0.016528926,M,Dustin Brown,Joao Sousa,115,0.710743802,grass,wimbledon
0.1625,0.714285714,0,0,0.554216867,0.445783133,0.0625,M,Joao Sousa,Dustin Brown,118,0.741071429,grass,wimbledon
0.051546392,0.655405405,0,0,0.536842105,0.463157895,0.033783784,M,Illya Marchenko,Jiri Vesely,146,0.641891892,grass,wimbledon
0.243589744,0.590909091,0,0,0.469135802,0.530864198,0.045454545,M,Jiri Vesely,Illya Marchenko,134,0.613636364,grass,wimbledon
0,0.741573034,0,0,0.463414634,0.536585366,0.033707865,M,Fabio Fognini,Dmitry Tursunov,64,0.460674157,grass,wimbledon
0.214285714,0.617647059,0,0,0.533333333,0.466666667,0.088235294,M,Dmitry Tursunov,Fabio Fognini,93,0.661764706,grass,wimbledon
0.078947368,0.655172414,80.13157895,84,0.540540541,0.459459459,0.034482759,M,Pierre Hugues Herbert,Nick Kyrgios,48,0.637931034,grass,wimbledon
0.272727273,0.647058824,62.42424242,65.82352941,0.5,0.5,0.019607843,M,Nick Kyrgios,Pierre Hugues Herbert,61,0.784313725,grass,wimbledon
0.02173913,0.691729323,0,0,0.487179487,0.512820513,0.022556391,M,Benoit Paire,Rogerio Dutra Silva,132,0.586466165,grass,wimbledon
0.159574468,0.666666667,0,0,0.505747126,0.494252874,0.042553191,M,Rogerio Dutra Silva,Benoit Paire,142,0.617021277,grass,wimbledon
0.232876712,0.646017699,0,0,0.518072289,0.481927711,0.053097345,M,Jerzy Janowicz,Denis Shapovalov,119,0.734513274,grass,wimbledon
0.053333333,0.6,0,0,0.449438202,0.550561798,0.048,M,Denis Shapovalov,Jerzy Janowicz,119,0.712,grass,wimbledon
0.118421053,0.484076433,0,0,0.510204082,0.489795918,0.050955414,M,Lucas Pouille,Malek Jaziri,134,0.624203822,grass,wimbledon
0.164383562,0.557251908,0,0,0.515789474,0.484210526,0.038167939,M,Malek Jaziri,Lucas Pouille,154,0.72519084,grass,wimbledon
0.210526316,0.59375,111.0789474,90.8,0.469387755,0.530612245,0.015625,M,Cameron Norrie,Jo Wilfried Tsonga,93,0.765625,grass,wimbledon
0.053571429,0.629213483,108.7678571,94.68965517,0.533333333,0.466666667,0.04494382,M,Jo Wilfried Tsonga,Cameron Norrie,60,0.505617978,grass,wimbledon
0.079365079,0.677419355,0,0,0.516129032,0.483870968,0.010752688,M,Yen Hsun Lu,Simone Bolelli,99,0.666666667,grass,wimbledon
0.080645161,0.666666667,0,0,0.517857143,0.482142857,0.053763441,M,Simone Bolelli,Yen Hsun Lu,87,0.602150538,grass,wimbledon
0,0.563106796,0,0,0.491525424,0.508474576,0.029126214,M,Nikoloz Basilashvili,Carlos Berlocq,93,0.572815534,grass,wimbledon
0.03125,0.64,0,0,0.484848485,0.515151515,0.03,M,Carlos Berlocq,Nikoloz Basilashvili,110,0.66,grass,wimbledon
0.028985507,0.594827586,0,0,0.454545455,0.545454545,0.034482759,M,Sam Querrey,Thomas Fabbiano,95,0.568965517,grass,wimbledon
0.233333333,0.606060606,0,0,0.528571429,0.471428571,0.02020202,M,Thomas Fabbiano,Sam Querrey,120,0.707070707,grass,wimbledon
0.070588235,0.611510791,108.4823529,90.58333333,0.526315789,0.473684211,0.043165468,M,Kevin Anderson,Fernando Verdasco,130,0.683453237,grass,wimbledon
0.257731959,0.7578125,125.814433,110.2592593,0.494623656,0.505376344,0.03125,M,Fernando Verdasco,Kevin Anderson,137,0.7265625,grass,wimbledon
0.098039216,0.542553191,0,0,0.568627451,0.431372549,0.053191489,M,Andreas Seppi,Norbert Gombos,77,0.542553191,grass,wimbledon
0.145833333,0.551724138,0,0,0.459016393,0.540983607,0.022988506,M,Norbert Gombos,Andreas Seppi,104,0.701149425,grass,wimbledon
0.086419753,0.566433566,0,0,0.488095238,0.511904762,0.06993007,M,Ruben Bemelmans,Tommy Haas,127,0.587412587,grass,wimbledon
0.065217391,0.713178295,0,0,0.546511628,0.453488372,0.023255814,M,Tommy Haas,Ruben Bemelmans,145,0.666666667,grass,wimbledon
0.14084507,0.63963964,114.4507042,97.33333333,0.480519481,0.519480519,0.063063063,M,Stan Wawrinka,Daniil Medvedev,121,0.693693694,grass,wimbledon
0.015151515,0.611111111,110.6666667,96.71794872,0.453125,0.546875,0.027777778,M,Daniil Medvedev,Stan Wawrinka,98,0.592592593,grass,wimbledon
0.106382979,0.671428571,108.8510638,100.1304348,0.5,0.5,0,M,John Millman,Rafael Nadal,91,0.685714286,grass,wimbledon
0.111111111,0.569620253,114.3111111,85.46875,0.527777778,0.472222222,0.025316456,M,Rafael Nadal,John Millman,58,0.455696203,grass,wimbledon
0.073529412,0.62962963,0,0,0.480519481,0.519480519,0.046296296,M,Denis Istomin,Donald Young,108,0.712962963,grass,wimbledon
0.086956522,0.663461538,0,0,0.506849315,0.493150685,0.009615385,M,Donald Young,Denis Istomin,104,0.701923077,grass,wimbledon
0.067961165,0.677631579,0,0,0.495327103,0.504672897,0.006578947,M,Andrew Whittington,Thiago Monteiro,148,0.703947368,grass,wimbledon
0.192307692,0.565217391,0,0,0.525773196,0.474226804,0.057971014,M,Thiago Monteiro,Andrew Whittington,142,0.702898551,grass,wimbledon
0.127906977,0.641791045,0,0,0.471910112,0.528089888,0.059701493,M,Karen Khachanov,Andrey Kuznetsov,139,0.664179104,grass,wimbledon
0.130952381,0.617647059,0,0,0.488372093,0.511627907,0.036764706,M,Andrey Kuznetsov,Karen Khachanov,131,0.632352941,grass,wimbledon
0.293650794,0.639593909,112.0793651,93.43333333,0.503401361,0.496598639,0.055837563,M,Aljaz Bedene,Ivo Karlovic,191,0.746192893,grass,wimbledon
0.161538462,0.643564356,90.57692308,83.13432836,0.487341772,0.512658228,0.024752475,M,Ivo Karlovic,Aljaz Bedene,208,0.782178218,grass,wimbledon
0,0.632352941,0,0,0.533333333,0.466666667,0.058823529,M,Renzo Olivo,Damir Dzumhur,84,0.661764706,grass,wimbledon
0.058823529,0.557377049,0,0,0.5,0.5,0.049180328,M,Damir Dzumhur,Renzo Olivo,45,0.360655738,grass,wimbledon
